Folio,year,Trim,Unidad,cd_mue,punt_mue,turno,p1,p2,p3,p4g,p4n,p5,p6,p6_1,p7,p8,p8_1,p9,p9_1,p9_2,p9_3,p9_4,p9_5_1,p9_5_2,p9_5_3,p9_5_4,p9_6_1,p9_6_2,p9_6_3,p9_6_4,p10,P10_Otro,p11,P11_Otro,p11_1d,p11_1m,P11_1U,p11_2e,p11_2m,p11_2c,P11_2U,p11_3e,p11_3c,p12,p12_1,p12_2,p12_2_1,p12_4,p12_5,p12_6_1,p12_6_2,p12_6_3,p12_6_4,p12_6_5,p12_6_6,p12_6_7,p12_6_8,p12_7,p12_8,p12_9c,p12_9u,p12_9t,p12_10,p12_11,p13,p13_1,p14,p15,p15_1,p16,p17,p17_1,p17_2,p17_2_1,p17_3,p18,p19,p19_1c,p19_1u,p19_2,p20,p21e1,p21c1,P21U1,p21e2,p21c2,P21U2,p22_1,p22_2,p23e,p23m,p23c,P23U,p24_1,p24_2,p24_3,p24_4,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_2,p26,p27,p28,p28_1,p29e,p29m,p29c,P29U,p29_1c,p29_1t,p29_3,p29_4,p29_5,p30,P30_Otro,p30_1,p31,p31_1,p31_2,p32,p33,p34,p34_1,p35,p36,p36_1,p37c,p37t,p38,p38_1,p38_2,p38_3,p39,p40c,p40t,p41c,p41u,p41_1,p42,p43e,p43m,p43c,P43U,p44,p45,p45_1,p46c,p46t,p47,p48,p48_1,p49,p50,p50_1,p51,p52m,p52a,p53,p54,p55,p56,p57,p58,p59_1,p59_2,p59_3,p59_4,p59_5,p59_6,p60_1,p60_2,p60_3,p60_4,p60_5,p60_6,p60_7,Ponfin3,filtro,m1_1,m1_2,m1_3,m1_4,m1_5,m1_6,m1_7,m1_8,m1_9,m1_10,m1_11,m2,m3,m4_1,m4_2,m4_3,m4_4,m4_5,m4_6,m4_7,m4_8,m4_9,m4_10,m4_11,m5,m6,m7_1,m7_2,m7_3,m7_4,m7_5,m7_6,m7_7,m7_8,m7_9,m7_10,m7_11
1490,2014,2,141406,1,1,1,2,41,1,3,3,2,2,-1,1,2,1,4,2,2,2,2,1,1,1,1,2,1,2,2,1,-9,1,-9,2,208,1,-2,-2,-2,-2,-2,-2,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,1,1,1215013,2,-2,2,1,-2,-2,-2,-2,1,2,-2,-2,-2,3,7,70890001,2,7,70090001,2,0,96,22,22014,220140001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-9,3,1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,8,2,1000,1,2,4,22,22014,220140001,2,3,3,2,16,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.489661511,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2032,2014,3,291409,1,1,1,1,23,2,0,1,2,2,-1,1,1,-1,6,3,2,2,1,1,1,1,1,2,2,2,2,1,-9,1,-9,2,208,1,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1312047,2,-2,2,1,-2,-2,-2,-2,0,2,-2,-2,-2,3,7,70190001,2,7,70780001,2,0,96,97,99997,999999997,97,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280320001,2,-5,6,2,-5,0,5,2,-5,1,2,1,4,2,1500,2,1,4,97,99997,999999997,97,3,3,2,12,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15.83587067,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
405,2014,1,121402,1,1,1,1,24,1,3,4,2,2,-1,5,1,-1,5,2,1,1,1,1,1,1,1,2,1,2,2,1,-9,1,-9,3,301,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,511,1,2,2,2,2,2,2,2,2,8,6,2000,1,5,722,3,1,1,1217001,2,-2,2,1,-2,-2,-2,-2,0,2,-2,-2,-2,3,7,70890001,2,7,70870001,1,0,96,7,7089,70890001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-9,6,2,-3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,2,200,1,2,3,7,7089,70890001,2,2,2,2,4,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15.61992224,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
451,2014,1,191402,1,1,1,1,23,1,2,4,1,2,-1,6,2,2,3,0,2,2,2,1,8,1,8,2,1,2,2,1,-9,1,-9,3,301,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,421,1,2,2,2,2,2,2,2,2,8,6,1500,1,5,461,3,1,1,1312047,2,-2,1,1,-2,-2,-2,-2,3,2,-2,-2,-2,3,20,200670001,2,97,999999997,97,0,96,20,20067,200670001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280220001,2,-5,53,2,-5,3,4,1,2,1,2,1,3,2,3000,1,2,4,20,20067,200670001,2,3,3,2,5,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.923244717,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
749,2014,3,81408,1,1,1,1,37,2,0,1,2,2,-1,5,1,-1,4,2,1,1,1,1,1,1,1,2,1,2,2,1,-9,1,-9,3,306,2,-2,-2,-2,-2,-2,-2,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1312047,2,-2,1,1,-2,-2,-2,-2,1,2,-2,-2,-2,3,7,70190001,2,7,70780001,2,0,96,27,27004,270040001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280270001,2,-5,13,2,-5,6,4,1,2,1,1,1,4,2,3500,2,2,4,27,27004,270040001,2,2,2,2,15,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20.02471387,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
387,2014,4,201410,1,1,1,2,19,1,3,4,2,2,-1,6,2,2,5,2,1,1,2,1,8,1,8,2,1,2,2,1,-9,1,-9,3,307,2,-2,-2,-2,-2,-2,-2,2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,1,9999997,1,6,1,1,-2,-2,-2,-2,0,2,-2,-2,-2,3,21,211140001,2,21,211140001,2,0,96,21,21114,211140001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,999999997,2,-5,40,1,1,5,4,1,2,1,1,1,4,2,1000,2,2,4,21,21114,211140001,2,2,2,2,2,3,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5.452641601,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
760,2014,3,81408,1,1,1,2,27,1,6,2,2,2,-1,3,1,-1,3,2,1,1,1,1,8,1,1,2,1,2,2,1,-9,1,-9,3,312,2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1305024,1,2,2,1,-2,-2,-2,-2,0,2,-2,-2,-2,3,7,70190001,2,7,71010001,2,0,96,7,7019,70190001,2,2,1,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,260000000,2,-5,12,1,1,6,4,2,-5,1,1,1,6,2,500,2,2,4,7,7009,70090001,2,2,2,2,4,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8.615985415,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1151,2014,4,191411,1,1,1,1,36,1,3,2,2,2,-1,1,1,-1,5,3,1,1,1,1,1,1,1,2,2,2,2,1,-9,1,-9,3,312,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,834,2,2,2,2,2,2,2,2,2,8,6,40,1,2,485,2,1,1,1215013,2,-2,2,1,-2,-2,-2,-2,1,2,-2,-2,-2,3,7,70890001,2,7,70690001,2,0,96,7,7040,70400001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-9,1,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,15,2,500,2,2,4,30,30163,999999997,97,2,2,2,2,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,19.25825681,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
297,2014,3,151407,1,1,1,2,35,1,3,2,2,2,-1,1,2,1,5,1,2,2,2,1,1,1,1,2,1,2,2,1,-9,1,-9,3,314,2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1217001,2,-2,1,1,-2,-2,-2,-2,2,2,-2,-2,-2,3,7,70890001,2,7,70690001,2,0,96,7,7032,70320001,1,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-9,1,2,-3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,15,2,1000,2,1,4,7,7069,70690001,2,2,2,2,2,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5.239925824,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
53,2014,1,141401,1,1,1,1,20,1,5,2,2,2,-1,6,2,2,10,2,7,7,2,1,8,1,8,2,2,2,2,1,-9,1,-9,4,401,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,6,30,1,2,111,4,1,1,1312047,2,-2,2,1,-2,-2,-2,-2,0,2,-2,-2,-2,3,7,70190001,2,7,71080001,2,0,96,30,30193,301930001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280320001,2,-5,34,1,2,2,4,2,-5,1,2,1,10,2,6000,1,1,4,30,30193,301930001,2,4,4,2,5,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.61924042,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
65,2014,1,161401,1,1,1,1,38,1,3,4,2,2,-1,1,1,-1,3,1,2,2,2,1,1,1,1,2,1,2,2,1,-9,1,-9,4,401,2,-2,-2,-2,-2,-2,-2,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,99,1,1,1312047,2,-2,1,1,-2,-2,-2,-2,0,2,-2,-2,-2,3,30,300030001,2,97,999999997,97,0,96,30,30003,300030001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280320001,2,-5,36,1,2,3,4,1,2,1,1,1,2,2,1000,2,1,4,30,30003,300030001,2,1,1,1,3,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8.503579351,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
