FOLIO,year,TRIM,UNIDAD,CIUDAD,PUNTO,TURNO,SEXO,EDAD,PASMEX,p1,P2G,p2n,p3,p4,p4_1,p5,p6,p6_1,p7,p7_1,p7_2,p7_3,p7_4,p7_5_1,p7_5_2,p7_5_3,p7_5_4,p7_6,p7_6_1,p8,p8_1,p9_1,p9_2,p9_3,p9_4,p10,P10_OTRO,p11,P11_OTRO,p11_1d,p11_1m,P11_1U,p11_2e,p11_2m,p11_2c,P11_2U,p11_3es,p11_3cn,p11_3cd,p12c,p12t,p13,p13_1,p13_2,p13_2_1,p13_4,p13_5,p13_6_1,p13_6_2,p13_6_3,p13_6_4,p13_6_5,p13_6_6,p13_6_7,p13_6_8,p13_7,p13_8,p13_9c,p13_9u,p13_9t,p13_10,p14,p14_1,p15,p16,p16_1,p17,p17_1c,p17_1u,p18_1,p18_2,p19e1,p19c1,P19U1,p19e2,p19c2,P19U2,p20e,p20c,P20U,p21c,p21t,p22,p22_1,p22_2e,p22_2m,p22_2c,P22_2U,p22_4,p22_5,p23_1,p23_2,p24,p24_1_1,p24_1_2,p24_1_3,p24_1_4,p24_1_5,p24_1_6,p24_1_7,p24_1_8,p24_2,p24_3,p24_4,p25,p25_1c,p25_1t,p25_2,p26c,p26u,p26_1,p27,p27_1c,p27_1u,p27_1_1,p27_2,p28_0_1,p28_0_2,p28_1,p29,p29_1,p29_2,p30,p30_1,p31,p31_1,p31_2,p31_3,p31_4,p32es,p32cn,p32cd,p32_1,p32_2,p32_3c,p32_3t,p32_4,p32_5,p33es,p33cn,p33cd,p34c,p34t,p35,p35_2,p35_3c,p35_3u,p35_3t,p35_4,p36,p36_1,p36_2_1,p36_2_2,p37,p38,p39a,p40a,p40_1,p40_2,p41,p41_1,p42a,p43m,p43a,p44,p45,p45_1,p46,p46_1,Ponfin3,filtro,MP1_1,MP1_2,MP1_3,MP1_4,MP1_5,MP1_6,MP1_7,MP1_8,MP1_9,MP1_10,MP1_11,MP1_12,MP1_13,MP2,MP3,MP4_1,MP4_2,MP4_3,MP4_4,MP4_5,MP4_6,MP4_7,MP4_8,MP4_9,MP4_10,MP4_11,MP5,MP6,MP7_1,MP7_2,MP7_3,MP7_4,MP7_5,MP7_6,MP7_7,MP7_8,MP7_9,MP7_10,MP7_11
91,2014,1,301401,1,1,1,1,30,1,1,1,2,2,2,-1,5,1,-1,6,4,1,1,1,1,7,1,1,2,-1,2,2,2,2,2,2,1,-9,1,-9,10,1010,1,-2,-2,-2,-2,-2,-2,-2,30,4,1,-2,1,-3,712,6,1,2,2,2,2,2,2,2,8,6,1200,1,3,236,1,1217001,3,2,-2,1,7000,3,0,96,7,70890001,2,27,270040001,2,7,70890001,2,15,2,2,2,-2,-2,-2,-2,-2,-2,3,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,99,280320001,8,2,10,7000,3,1,2,-2,-2,-2,-2,0,96,5,2,1,2,2,-2,7,1,0,7,1,48,48215,4821545384,3,3,50,2,2,1,48,48215,4821545384,4,4,2,-4,-4,-4,-4,-4,0,-4,-4,-4,98,0,-2,-2,-2,-2,4,1,2013,9,2013,3,3,1,1,-3,31.61911425,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
91,2014,4,61410,1,1,1,1,27,1,1,4,2,2,2,-1,6,2,2,8,4,3,3,2,1,8,1,8,3,-2,2,2,2,1,2,2,1,-9,1,-9,2,203,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,834,1,2,2,2,2,2,2,2,2,14,4,6000,1,5,561,1,1312047,3,2,-2,2,-2,-2,0,96,30,300280037,2,28,280380001,2,28,280320001,2,1,4,2,2,-2,-2,-2,-2,-2,-2,3,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,280320001,6,2,4,14000,1,1,2,-2,-2,-2,-2,0,96,0,2,1,2,2,-2,0,-2,-2,-2,-2,48,48215,4821545384,7,4,6,2,2,2,48,48215,4821545384,6,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,0,-2,-2,-2,-2,2,2,2014,9,2014,0,0,-4,2,1,20.7376132,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
92,2014,1,301401,1,1,1,1,34,1,1,1,2,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,2,-1,2,1,2,1,2,2,1,-9,1,-9,15,1523,2,-2,-2,-2,-2,-2,-2,-2,34,4,1,-2,1,-3,834,1,2,2,1,1,2,2,2,2,8,6,3000,1,5,484,1,1217001,3,2,-2,2,-2,-2,0,96,7,70520028,1,5,50380286,1,7,70520028,1,6,4,1,-2,7,7051,70510001,2,712,236,3,8,1,1,1,1,2,2,1,2,2,1,1,-3,50250001,2,4,10,6000,1,2,2,-2,-2,-2,-2,0,96,0,2,2,-2,2,-2,0,-2,-2,-2,-2,48,99999,9999999999,6,4,17,2,2,1,48,99999,9999999999,17,2,2,-4,-4,-4,-4,-4,0,-4,-4,-4,1,1,-3,2013,1,2,3,1,2007,8,2013,2,2,1,1,-3,31.61911425,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
92,2014,4,61410,1,1,1,1,30,1,1,5,2,2,2,-1,5,1,-1,4,2,2,1,1,1,1,1,1,2,-1,2,2,2,1,2,2,1,-9,1,-9,4,404,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1705015,3,2,-2,1,5000,3,0,96,30,300280037,2,28,280320001,2,28,280320001,2,22,2,2,2,-2,-2,-2,-2,-2,-2,4,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,280320001,8,2,4,5000,3,1,1,5000,3,1,1,0,96,1,2,2,-2,2,-2,0,-2,-2,-2,-2,48,48201,4820135000,3,2,8,2,1,2,48,48201,4820135000,8,2,2,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,1,2014,9,2014,0,0,-4,1,-3,20.7376132,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
93,2014,1,301401,1,1,1,1,23,1,1,2,3,2,2,-1,6,2,2,7,0,3,3,2,1,8,1,1,2,-1,3,2,2,1,2,1,1,-9,1,-9,8,805,2,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1705016,3,2,-2,1,3000,3,0,96,30,301930001,2,9,999999999,99,30,301930001,2,15,2,2,2,-2,-2,-2,-2,-2,-2,3,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,99,260600044,5,2,6,3000,3,1,1,3000,3,3,1,0,96,1,2,2,-2,2,-2,0,-2,-2,-2,-2,4,4019,401977000,7,2,19,2,2,2,4,4019,401977000,19,2,2,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,1,2013,12,2013,0,0,-4,1,-3,31.61911425,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
93,2014,4,61410,1,1,1,1,28,1,1,6,2,2,2,-1,1,1,-1,4,2,2,1,1,1,1,1,1,2,-1,2,2,2,1,2,1,1,-9,1,-9,2,208,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,611,6,2,2,2,2,2,2,2,2,10,6,120,1,2,111,1,1705099,3,2,-2,1,1000,3,0,96,5,50250001,2,28,280320001,2,21,211140001,2,9,2,2,2,-2,-2,-2,-2,-2,-2,3,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,50250001,1,2,4,2000,3,1,1,1000,3,1,1,0,96,0,2,1,1,2,-2,0,-2,-2,-2,-2,48,48029,4802965000,3,2,26,2,2,2,48,48029,4802965000,26,2,2,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,2,1,2014,9,2014,1,1,0,1,-3,20.7376132,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
94,2014,1,301401,1,1,1,1,37,1,1,2,3,2,1,3,5,1,-1,1,-1,-1,-1,-1,1,3,1,3,1,2,2,2,2,1,2,2,1,-9,1,-9,8,801,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,611,1,1,2,2,2,2,2,2,2,4,7,250,1,2,111,1,1705016,3,2,-2,2,-2,-2,0,96,30,301930001,2,97,999999997,97,97,999999997,97,2,4,2,2,-2,-2,-2,-2,-2,-2,0,96,1,1,1,1,2,2,1,2,2,5,2,1,260600044,1,3,2,1000,3,1,2,-2,-2,-2,-2,0,96,0,2,1,1,2,-2,0,-2,-2,-2,-2,4,4019,401977000,3,3,1,4,98,98,98,99998,9999999998,998,98,98,998,99998,98,98,998,98,99998,98,98,98,98,9998,9998,98,98,98,98,9998,98,9998,98,98,98,98,98,31.61911425,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
94,2014,4,61410,1,1,1,2,25,1,1,4,5,2,2,-1,6,2,2,3,1,0,-2,-2,1,8,1,1,2,-1,2,2,2,1,2,2,1,-9,1,-9,8,801,2,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,411,6,2,2,2,2,2,2,2,2,9,7,300,1,2,461,1,9999997,3,2,-2,2,-2,-2,0,96,30,300280037,2,98,999999998,98,98,999999998,98,98,98,98,98,98,99998,999999998,98,998,998,98,98,98,98,98,98,98,98,98,98,98,7,98,98,999999998,98,98,98,999998,98,98,98,99998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,9999999998,98,98,998,98,98,98,98,99998,9999999998,998,98,98,998,99998,98,98,998,98,99998,98,98,98,98,9998,9998,98,98,98,98,9998,98,9998,98,98,98,98,98,11.03362814,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
95,2014,1,301401,1,1,1,1,28,1,1,2,3,2,1,3,6,1,-1,1,-1,-1,-1,-1,1,8,1,1,2,-1,3,2,2,2,2,2,1,-9,1,-9,2,208,2,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,712,1,2,2,2,2,2,2,2,2,8,6,1500,1,3,236,1,1217001,3,2,-2,2,-2,-2,0,96,24,240280001,2,19,190390001,2,24,240280001,2,15,2,2,2,-2,-2,-2,-2,-2,-2,3,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,99,50250001,5,1,11,500,3,2,2,-2,-2,-2,-2,0,96,0,2,2,-2,2,-2,0,-2,-2,-2,-2,48,48215,4821545384,3,3,6,4,2,1,48,48215,4821545384,6,4,2,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,7,5,2002,7,2013,2,2,0,5,5,31.61911425,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
95,2014,4,61410,1,1,1,1,21,1,2,0,1,2,2,-1,1,1,-1,3,1,1,1,1,1,1,5,1,2,-1,2,2,2,2,2,2,1,-9,1,-9,8,824,99,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,611,6,2,2,2,2,2,2,2,2,6,6,120,1,2,111,1,1705099,3,2,-2,2,-2,-2,0,96,19,190390001,2,7,70270001,2,19,190390001,2,18,2,2,2,-2,-2,-2,-2,-2,-2,3,8,1,98,98,98,98,98,98,98,98,5,2,1,280270001,2,2,5,1500,3,1,1,1500,3,3,3,0,96,5,2,1,2,2,-2,0,-2,-2,-2,-2,48,48479,4847941464,4,3,2,2,2,2,48,48479,4847941464,1,4,2,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,20.7376132,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
