"","pais","idnum","upm","prov","muni","cluster","ur","tamano","idiomaq","wt","estratopri","estratosec","q2y","q2","q1","ls3","a4","soct2","idio2","np1","sgl1","cp6","cp7","cp8","cp13","cp20","it1","cp21a","cp22","cp23","cp24","cp25","cp26","escp27","escp28n","escp29","l1","prot3","jc10","jc13","jc15a","vic1ext","vic1exta","vic1hogar","cpol1","cpol2","cpol3","cpol4","ico2","arm2","vic41","vic43","aoj11","pese1","pese2","aoj17","aoj18","aoj12","b1","b2","b3","b4","b6","b43","b11","b12","b13","b18","b20","b21","b21a","b32","b37","b47a","esb48","paz1","paz4","paz5","m1","m2","sd2new2","sd3new2","sd6new2","infrax","ros1","ros4","ing4","eff1","eff2","pn4","w14a","epn3a","epn3b","epn3c","e5","e15","e16","d1","d2","d3","d4","d5","d6","dem11","aut1","exc2","exc6","exc20","exc11","exc13","exc14","exc15","exc16","exc18","exc7","diso7","diso8","diso10","diso18","diso14","diso16","diso17","vicbar1","vicbar1f","vicbar3","vicbar4","vicbar4f","vicbar7","vicbar7f","fear10","vic44","vb1","vb2","elsvb2n","elsvb3u","elsvb48","vb10","eref6","pol1","vb20","vb49","clien1na","for5","mil10a","mil10e","dvw1","dvw2","wf1","cct1b","ed","ed2","mov1","q5a","q5b","q3c","ocup4a","ocup1a","q10a","q14","q10d","q10e","q11n","q12c","q12bn","q12","etid","www1","gi0","pr1","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r18","r1","r16","colorr","sexi","colori","nationality","formatq","sex","year","fecha","lib1","lib4","elsvb12","elsvb13"
"1:3025","El Salvador",687,3093,"Cuscatlán",NA,182,"Urbano","Ciudad mediana",1,1,"Región 3 (Central 2)",2,1948,64,2,NA,NA,3,2,2,3,4,4,4,4,4,3,0,NA,NA,NA,NA,0,NA,NA,NA,6,2,2,1,2,2,NA,2,2,2,2,2,NA,2,0,0,3,2,2,3,3,3,5,4,3,4,4,7,4,4,4,6,7,6,6,5,4,4,NA,2,2,3,2,3,2,2,2,NA,NA,7,4,2,4,2,2,NA,NA,NA,2,4,6,6,7,4,4,1,1,2,2,0,0,0,NA,NA,0,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,5,1,1,1,5,NA,1,2,3,2,NA,2,NA,0,2,5,1,NA,0,0,1,0,0,0,0,1,1,0,NA,1,0,4,1,5,3,NA,2,2012,NA,NA,NA,NA,NA
"1:3026","El Salvador",500,3096,"Cuscatlán",NA,187,"Rural","Área rural",1,1,"Región 3 (Central 2)",2,1970,41,1,2,5,3,2,2,3,4,3,3,4,NA,2,0,NA,NA,NA,NA,0,0,NA,NA,7,2,1,2,2,2,NA,2,1,1,1,1,NA,1,0,0,1,2,2,1,2,1,1,2,5,5,5,7,6,6,7,1,1,5,4,6,4,5,NA,2,2,3,2,2,2,2,2,NA,5,3,6,6,4,NA,NA,NA,NA,NA,5,1,1,4,3,5,3,1,NA,1,2,0,0,0,NA,0,NA,0,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,NA,NA,NA,2,2,1,3,NA,NA,NA,2,1,NA,NA,NA,NA,3,0,NA,1,1,1,1,4,2,1,4,3,NA,4,NA,0,2,5,5,NA,0,0,1,0,0,0,0,1,1,0,NA,1,0,4,1,4,3,NA,1,2012,NA,NA,NA,NA,NA
"1:3027","El Salvador",580,31111,"Usulután",NA,203,"Rural","Área rural",1,1,"Región 4 (Oriental)",3,1935,76,1,3,5,3,3,2,3,4,4,4,4,NA,3,1,0,0,0,0,0,0,NA,NA,5,2,1,1,2,2,NA,2,2,2,2,2,NA,2,0,0,2,2,2,3,1,3,5,5,4,6,6,7,3,4,3,3,3,3,3,5,3,4,NA,3,3,4,4,4,3,3,3,NA,6,6,6,5,5,NA,NA,NA,NA,NA,6,4,3,7,6,6,5,1,NA,2,2,0,0,0,NA,NA,NA,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,2,3,3,1,NA,NA,4,4,2,NA,NA,NA,NA,2,0,NA,5,4,4,7,NA,2,1,4,2,NA,9,NA,4,3,5,2,NA,0,1,1,0,0,0,0,0,0,0,NA,1,0,4,2,6,3,NA,1,2012,NA,NA,NA,NA,NA
"1:3028","El Salvador",296,3027,"Santa Ana",NA,26,"Urbano","Ciudad mediana",1,1,"Región 1 (Occidental)",2,1960,51,2,1,3,3,2,2,2,4,4,4,4,4,1,0,NA,NA,NA,NA,0,0,NA,NA,10,2,2,2,2,2,NA,2,2,2,2,2,NA,2,0,0,1,2,2,4,2,1,5,6,4,5,6,7,3,1,3,1,7,1,1,1,1,1,NA,2,2,NA,NA,NA,2,NA,2,NA,1,7,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,4,1,NA,1,4,1,2,2,1,NA,2,NA,3,NA,3,2,NA,1,1,1,3,1,1,0,1,1,0,NA,1,0,4,2,4,3,NA,2,2012,NA,NA,NA,NA,NA
"1:3029","El Salvador",1178,31217,"San Miguel",NA,225,"Urbano","Ciudad grande",1,1,"Región 4 (Oriental)",1,1972,39,2,1,1,3,2,1,3,1,2,3,4,4,2,1,1,1,1,0,0,0,NA,NA,10,1,1,1,2,1,2,2,1,1,1,1,NA,1,0,1,4,1,1,1,2,4,3,2,3,4,4,7,5,3,3,5,7,4,1,3,5,5,NA,3,3,2,5,2,2,2,4,NA,1,4,4,6,7,NA,NA,NA,NA,NA,10,10,5,3,5,6,4,6,NA,1,2,1,1,0,0,1,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,2,3,3,NA,NA,1,2,2,NA,NA,NA,NA,17,6,NA,2,2,1,1,3,1,2,1,3,NA,3,NA,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,1,1,1,1,3,2,6,3,NA,2,2012,NA,NA,NA,NA,NA
"1:3030","El Salvador",516,3032,"Sonsonate",NA,41,"Urbano","Ciudad mediana",1,1,"Región 1 (Occidental)",2,1971,41,1,1,1,3,3,2,4,3,3,4,4,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,6,2,2,2,2,1,8,2,2,2,2,2,NA,1,1,0,3,3,3,2,3,4,4,6,4,3,3,6,5,4,4,4,4,3,5,5,5,6,NA,2,1,1,3,2,2,3,3,NA,1,5,6,5,5,NA,NA,NA,NA,NA,10,1,2,10,10,7,7,NA,NA,2,2,1,0,0,0,1,NA,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,1,3,3,NA,NA,4,1,1,NA,NA,NA,NA,11,3,NA,4,1,4,1,4,1,2,3,3,NA,3,NA,5,2,4,1,NA,1,1,1,0,0,1,0,1,1,0,NA,1,1,2,2,3,3,NA,1,2012,NA,NA,NA,NA,NA
"1:3031","El Salvador",510,3032,"Sonsonate",NA,40,"Urbano","Ciudad mediana",1,1,"Región 1 (Occidental)",2,1961,51,2,3,1,3,3,2,3,1,4,4,4,4,2,1,0,0,0,0,0,0,NA,NA,1,2,2,2,2,2,NA,2,1,2,2,2,NA,2,0,0,3,3,3,4,2,3,4,4,4,7,7,7,6,7,7,6,7,2,7,6,6,6,NA,2,3,4,2,3,2,2,2,NA,6,7,7,7,1,NA,NA,NA,NA,NA,10,1,5,5,7,7,7,1,NA,1,2,0,0,0,NA,NA,NA,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,2,1,3,2,NA,NA,12,2,1,NA,NA,NA,NA,1,0,NA,2,1,5,5,NA,2,2,4,3,NA,8,NA,3,2,5,1,NA,1,0,1,0,0,0,0,1,1,0,NA,1,0,5,1,3,3,NA,2,2012,NA,NA,NA,NA,NA
"1:3032","El Salvador",797,3067,"San Salvador",NA,103,"Urbano","Capital Nacional (área metropolitana)",1,1,"Región 5 (AMSS)",1,1988,24,2,2,NA,2,1,2,3,1,2,4,4,4,3,1,0,0,0,0,0,0,NA,NA,6,2,1,1,2,2,NA,2,1,2,2,2,NA,2,0,0,2,2,2,3,1,4,4,5,3,4,4,6,5,5,4,5,5,4,4,5,5,4,NA,1,2,3,3,3,2,3,3,NA,4,6,5,3,4,2,2,NA,NA,NA,7,7,7,7,6,6,7,7,6,2,2,0,0,0,NA,0,NA,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,4,3,2,1,5,1,2,2,2,2,1,NA,8,NA,1,2,2,1,NA,1,1,1,0,1,1,0,1,1,1,1,1,1,3,2,4,3,NA,2,2012,NA,NA,NA,NA,NA
"1:3033","El Salvador",538,30614,"San Salvador",NA,119,"Urbano","Capital Nacional (área metropolitana)",1,1,"Región 5 (AMSS)",1,1932,79,1,4,15,2,3,2,5,3,4,4,4,NA,1,0,NA,NA,NA,NA,0,0,NA,NA,1,2,2,2,2,2,NA,2,2,2,2,2,NA,2,0,0,4,NA,NA,4,1,4,2,6,1,3,2,7,2,1,1,7,7,2,4,1,1,1,NA,3,3,4,3,4,2,NA,3,NA,6,1,6,1,7,NA,NA,NA,NA,NA,5,5,5,2,2,2,2,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,1,2,2,NA,NA,14,NA,NA,NA,NA,NA,NA,2,0,NA,4,2,1,6,NA,1,1,4,3,NA,1,NA,8,2,5,2,NA,0,0,0,0,0,0,0,1,0,0,NA,0,0,3,1,7,3,NA,1,2012,NA,NA,NA,NA,NA
"1:3034","El Salvador",528,3053,"La Libertad",NA,64,"Urbano","Ciudad grande",1,1,"Región 2 (Central 1)",1,1941,71,1,1,1,3,2,2,3,4,4,1,4,NA,4,1,1,1,1,1,0,0,NA,NA,1,1,2,2,2,2,NA,2,1,1,1,1,NA,1,0,0,3,1,1,3,1,2,3,3,3,6,5,7,6,4,5,4,3,4,6,3,3,5,NA,3,4,4,1,2,2,2,2,NA,1,7,NA,4,7,NA,NA,NA,NA,NA,5,5,1,1,1,1,1,1,NA,2,2,0,0,0,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,1,1,NA,NA,NA,11,1,2,NA,NA,NA,NA,13,1,NA,3,1,1,5,NA,1,2,2,2,NA,1,NA,0,1,5,1,NA,1,0,1,0,0,0,0,0,1,0,NA,1,0,3,1,5,3,NA,1,2012,NA,NA,NA,NA,NA
