folio,year,unidad,ciudad,punto,turno,p1,p2,p3,p4a,p4n,p5,p5_1,p5_2,p6,p6_1,p7,p8,p8_1,p9,p9_1,p9_2,p9_3_1,p9_3_2,p9_3_3,p9_3_4,p9_4_1,p9_4_2,p9_4_3,p9_4_4,p10,p11,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p12,p12_1,p12_2,p12_2_1,p12_4,p12_5,p12_6_1,p12_6_2,p12_6_3,p12_6_4,p12_6_5,p12_6_6,p12_6_7,p12_6_8,p12_7,p12_8,p12_9c,p12_9u,p12_9t,p12_10,p12_11,p13,p14,p14_1,p15,p16,p16_1,p16_2,p16_2_1_1,p16_2_1_2,p16_2_1_3,p16_2_1_4,p16_2_1_5,p16_2_1_6,p16_2_1_7,p16_2_1_8,p16_2_1_9,p16_2_1_10,p17,p18,p18_1,p18_2,p18_2_1,p18_2_2,p18_2_3,p18_3,p19,p20,p20_1c,p20_1u,p20_2,p21_1,p21_2,p21_3,p21_4,p21_5,p21_6,p22_1e,p22_1l,p22_1u,p22_2e,p22_2l,p22_2u,p23,p23_1,p24e,p24m,p24l,p24u,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_1_8,p25_1_9,p25_1_10,p25_1_11,p26,p26_1_1,p26_1_2,p26_1_3,p26_1_4,p26_1_5,p26_1_6,p26_1_7,p26_2,p27_1,p27_2,p27_3,p27_4,p27_5,p27_1_1,p27_1_2,p27_1_3,p27_1_4,p27_1_5,p28,p28_1,p29e,p29m,p29l,p29u,p29_1c,p29_1t,p29_3,p29_4,p29_5,p30,p31c,p31t,p32c,p32u,p32_1,p33,p34e,p34m,p34l,p34u,p35,p35_1_1,p35_1_2,p35_1_3,p35_1_4,p35_1_5,p35_1_6,p35_1_7,p35_1_8,p35_1_9,p35_1_10,p35_1_11,p36,p36_1_1,p36_1_2,p36_1_3,p36_1_4,p36_1_5,p36_1_6,p36_1_7,p36_1_8,p36_1_9,p36_1_10,p36_1_11,p36_2,p37c,p37t,p38,p39,p39_1_1,p39_1_2,p39_1_3,p39_1_4,p39_1_5,p39_1_6,p39_1_7,p39_1_8,p39_1_9,p39_1_10,p39_1_11,p39_2,p40,p40_1,p41,p42,p42_1,p43,p44m,p44a,p45,p46,p47,p48,p49,p50,p50_1,p50_2,p51,p52,p53,p53_1,p54,p55,p55_1,p56c,p56t,p57,p57_1,p57_2,p57_3,p58,p59,p60_1,p60_2,p60_3,p60_4,filtro,ponfin3,t3mp1_1,t3mp1_2,t3mp1_3,t3mp1_4,t3mp1_5,t3mp1_6,t3mp2,t3mp3,t3mp4_1,t3mp4_2,t3mp4_3,t3mp4_4,t3mp4_5,t3mp4_6,t3mp4_7,t3mp5,t3mp6_1,t3mp6_2,t3mp6_3,t3mp6_4,t3mp6_5,t3mp6_6,t3mp7
341,2015,161501,1,1,1,1,16,2,0,1,2,2,2,2,-1,6,2,2,12,3,2,2,8,2,8,2,2,2,2,1,1,17,1709,1,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,1,1,1,1217001,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,3,3,3,-4,5,3,3,2,-2,-2,-2,1,2,2,2,2,2,7,70890001,2,7,70970001,2,0,0,7,7097,70970001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1,2,2,2,2,5,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,5,2,3500,1,2,4,19,19039,190390001,2,4,2,2,2,1,2,2,2,2,2,2,2,4,2,2,2,1,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2014,0,-2,-2,-2,-2,0,-2,-2,-2,3,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,2,2,2,2,2,1,42.70827082, , , , , , , , , , , , , , , , , , , , , , , 
343,2015,161507,1,1,1,1,24,1,1,3,2,2,2,2,-1,1,2,2,4,1,1,1,1,5,1,1,2,2,2,1,1,8,801,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,712,2,2,2,2,2,2,2,2,2,8,5,300,1,3,236,2,2,1,1,1705016,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,3,2,-2,-2,-2,1,2,2,2,2,2,27,270170001,2,27,270040001,2,3,0,27,27017,270170001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4,2,2500,1,2,4,27,27004,270040001,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,1,280270001,2,-5,24,1,1,3,4,1,2,1,1,2,2,2,2,2,2,1,18.43013544,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
344,2015,161507,1,1,1,1,20,1,6,2,2,2,2,2,-1,6,2,2,10,4,2,1,8,1,8,1,2,2,2,1,1,8,801,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,923,2,2,2,2,2,2,2,2,2,8,6,200,1,2,811,5,2,1,1,1705015,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,6,2,-2,-2,-2,2,2,2,2,2,2,27,270170001,2,27,270040001,2,0,0,27,27004,270040001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,5,2,3000,1,1,4,27,27017,270170001,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,1,50250001,2,-5,17,2,-5,5,4,1,2,1,1,2,2,2,2,2,2,1,18.43013544,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
345,2015,161507,1,1,1,1,26,1,6,2,2,2,2,2,-1,6,2,2,5,3,2,1,8,1,8,1,2,2,2,1,1,6,604,99,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,130,1,2,111,2,2,1,1,1705099,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,3,2,-2,-2,-2,1,1,2,2,2,2,7,70890001,2,7,70650001,2,0,0,7,7065,70650001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4,2,2000,1,2,3,7,7065,70650001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,1,280270001,2,-5,48,1,1,0,5,1,1,-5,-5,2,2,2,2,2,2,1,17.16638128,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
360,2015,181501,1,1,1,1,35,2,0,1,2,2,2,2,-1,1,1,-1,4,1,1,1,1,1,1,1,2,2,2,1,1,8,803,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,731,2,2,2,2,2,2,2,2,2,10,6,4000,1,4,337,2,2,1,1,1217001,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,0,2,-2,-2,-2,1,2,2,2,2,2,98,999999998,98,98,999999998,98,2,0,98,99998,999999998,98,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,8,2,99998,98,2,3,98,99998,999999998,98,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,1,999999998,2,-5,48,2,-5,0,5,1,2,1,1,1,2,2,2,2,2,1,27.09006929, , , , , , , , , , , , , , , , , , , , , , , 
361,2015,181501,1,1,1,1,29,2,0,1,2,2,2,2,-1,5,1,-1,3,1,1,1,1,1,1,1,2,2,2,1,1,5,503,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,712,2,2,2,2,2,2,2,2,2,8,6,200,1,2,236,2,2,1,1,1705015,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,3,0,-3,-3,-3,2,1,2,-2,-2,-2,1,2,2,2,2,2,7,70400001,2,7,70090001,2,0,0,7,7101,71010001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,12,2,99998,98,2,3,98,99998,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,1,23.05069472, , , , , , , , , , , , , , , , , , , , , , , 
362,2015,181501,1,1,1,1,22,1,6,2,2,2,2,2,-1,1,1,-1,2,2,1,1,1,5,8,1,2,2,2,1,1,5,501,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,421,2,2,2,2,2,2,2,2,2,12,7,200,1,2,461,2,2,1,1,1705099,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,3,0,-3,-3,-3,3,7,2,-2,-2,-2,1,2,2,2,2,2,27,270020027,1,27,270030022,1,0,0,24,24028,240280001,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,9,2,5000,1,1,3,27,27004,270040001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,5,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,1,50250001,2,-5,41,1,1,0,5,1,1,-5,-5,3,2,2,2,2,2,1,24.7476401, , , , , , , , , , , , , , , , , , , , , , , 
363,2015,181501,1,1,1,1,35,1,6,2,2,2,2,2,-1,1,1,-1,5,2,1,1,1,1,1,1,2,2,2,1,1,14,1402,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,6,100,1,2,111,1,2,1,1,1217001,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,1,2,-2,-2,-2,1,2,2,2,2,2,7,70890001,2,97,999999997,97,0,0,7,7089,70890001,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,3,2,2500,1,2,3,7,7089,70890001,2,3,2,2,2,1,2,2,2,2,2,1,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,3,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,1,50250001,2,-5,51,2,-5,3,4,1,2,1,1,2,2,2,2,2,2,1,27.09006929, , , , , , , , , , , , , , , , , , , , , , , 
364,2015,181501,1,1,1,1,22,1,6,2,2,2,2,2,-1,6,2,2,9,4,2,1,8,1,8,1,2,2,2,1,1,8,816,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,6,600,1,3,111,1,2,1,1,1705099,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,3,2,-2,-2,-2,1,2,2,2,2,2,7,70650001,2,7,70090001,2,0,0,7,7069,70690001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,5,2,3000,1,2,3,7,7089,70890001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,5,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,1,1,2014,1,2015,0,-2,-2,-2,-2,-2,-2,-2,1,280270001,2,-5,48,2,-5,0,5,1,1,-5,-5,1,2,2,2,2,2,1,24.7476401, , , , , , , , , , , , , , , , , , , , , , , 
365,2015,181501,1,1,1,1,22,1,3,3,2,2,2,2,-1,6,2,2,8,5,2,1,8,1,8,1,2,2,2,1,1,8,801,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,923,2,2,2,2,2,2,2,2,2,8,6,180,1,2,811,2,2,1,1,1705016,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,1,0,-3,-3,-3,1,0,2,-2,-2,-2,1,2,2,2,2,2,27,270170001,2,27,270040001,2,0,0,27,27004,270040001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,5,2,2000,1,1,4,27,27004,270040001,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,1,24.7476401, , , , , , , , , , , , , , , , , , , , , , , 
366,2015,181501,1,1,1,2,18,1,2,3,2,2,2,2,-1,6,2,2,7,3,2,5,8,5,8,2,2,2,2,1,1,1,103,1,-2,-2,-2,-2,-2,-2,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,1,1,1705099,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,5,0,-3,-3,-3,5,0,2,-2,-2,-2,1,2,2,2,2,2,7,70890001,2,7,70090001,2,2,0,7,7069,70690001,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,6,2,5000,1,1,4,9,9003,90030001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,4,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,1,260430001,1,2,4,1,1,0,5,1,1,-5,-5,1,2,2,2,2,2,1,81.80466638, , , , , , , , , , , , , , , , , , , , , , , 
367,2015,181501,1,1,1,1,28,1,6,2,2,2,2,2,-1,5,1,-1,3,1,1,1,1,5,1,1,2,2,2,1,1,5,502,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,263,2,2,2,2,2,2,2,2,2,8,6,300,1,2,811,5,2,1,1,1705016,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,3,2,-2,-2,-2,1,2,2,2,2,2,27,270170001,2,7,71080691,1,0,0,27,27004,270040001,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,5,2,3000,1,1,4,27,27004,270040001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,5,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,1,0,2010,1,2015,1,2,5,-3,-2,-2,-2,-2,1,280320001,2,-5,34,1,1,4,4,1,2,1,2,2,2,2,2,2,2,1,23.05069472, , , , , , , , , , , , , , , , , , , , , , , 
368,2015,181501,1,1,1,2,24,1,3,4,2,2,2,2,-1,6,2,2,6,3,2,1,8,5,8,1,2,2,2,1,1,4,405,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,312,1,2,2,2,2,2,2,2,2,10,6,4500,1,5,462,2,2,1,1,1312047,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,8,0,-3,-3,-3,2,3,1,4000,3,3,1,2,2,2,2,2,7,70190001,2,7,71010001,2,0,0,7,7101,71010001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,20,2,5000,1,1,4,28,28032,280320001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,6,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,1,280320001,1,1,34,1,1,0,5,1,2,1,1,1,2,2,2,2,2,1,32.81066887, , , , , , , , , , , , , , , , , , , , , , , 
369,2015,181501,1,1,1,1,28,1,5,2,2,2,2,2,-1,6,1,-1,1,-1,-1,1,8,1,8,1,2,2,2,1,1,8,801,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,650,1,3,111,2,2,1,1,1705015,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,1,0,-3,-3,-3,1,7,2,-2,-2,-2,1,2,2,2,2,2,27,270040001,2,30,300280037,2,2,5,27,27004,270040001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,14,2,4000,1,1,4,30,30193,301930001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,4,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,1,280270001,2,-5,17,1,1,3,4,1,2,1,1,2,2,2,2,2,2,1,23.05069472, , , , , , , , , , , , , , , , , , , , , , , 
370,2015,181501,1,1,1,1,30,1,6,2,2,2,2,2,-1,1,1,-1,4,1,1,1,1,1,1,1,2,2,2,1,1,8,801,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,263,2,2,2,2,2,2,2,2,2,8,6,180,1,2,811,2,2,1,1,1705016,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,3,2,-2,-2,-2,1,2,2,2,2,2,27,270170001,2,27,270040001,2,0,0,27,27004,270040001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,5,2,2000,1,1,4,27,27004,270040001,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,1,280270001,2,-5,34,1,2,0,5,1,2,1,1,2,2,2,2,2,2,1,25.23056942, , , , , , , , , , , , , , , , , , , , , , , 
374,2015,141504,1,1,1,2,26,1,3,3,2,2,2,2,-1,6,2,2,5,2,2,1,8,1,1,1,2,2,2,1,1,5,506,99,-2,-2,-2,-2,-2,-2,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,2,1,1,1705015,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,3,0,-3,-3,-3,2,3,2,-2,-2,-2,1,2,2,2,2,2,7,70650001,2,7,70090001,2,2,0,27,27004,270040001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,11,2,3500,1,1,4,27,27004,270040001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,3,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,3,280270001,2,-5,34,1,1,5,4,1,2,1,1,3,2,1,2,2,2,1,35.68155762, , , , , , , , , , , , , , , , , , , , , , , 
375,2015,141504,1,1,1,1,42,1,2,2,2,2,2,2,-1,5,1,-1,7,3,1,1,1,1,1,1,2,2,2,1,1,13,1306,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,5,6,100,1,2,111,2,2,1,1,1705099,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,3,2,-2,-2,-2,1,2,2,2,2,2,7,70890001,2,7,70090001,2,2,0,11,11017,110170001,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4,2,2500,1,2,3,7,7065,70650001,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,3,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,1,999999997,2,-5,48,1,1,0,5,2,-5,1,2,1,2,2,2,2,2,1,25.4275096, , , , , , , , , , , , , , , , , , , , , , , 
376,2015,141504,1,1,1,1,27,2,0,1,2,2,2,2,-1,6,2,2,4,4,2,1,8,1,8,1,2,2,2,1,1,18,1804,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,5,6,1200,1,3,111,2,2,1,1,1217001,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,0,2,-2,-2,-2,1,2,2,2,2,2,7,70650001,2,27,270050001,2,2,0,27,27002,270020001,2,3,2,2,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,13,2,4300,1,2,4,30,30039,300390001,2,3,2,2,2,1,2,2,2,2,2,1,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,1,50250001,2,-5,34,1,1,6,4,1,2,1,2,2,2,2,2,2,2,1,14.76417157, , , , , , , , , , , , , , , , , , , , , , , 
377,2015,141504,1,1,1,1,22,1,6,2,2,2,2,2,-1,6,2,2,5,2,2,1,8,1,8,1,2,2,2,1,1,3,301,99,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,6,6,120,1,2,111,2,2,1,1,1705015,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,5,0,-3,-3,-3,3,1,2,-2,-2,-2,2,1,2,2,2,2,20,200140033,1,15,151000017,1,0,0,27,27004,270040001,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,14,2,6000,1,1,3,30,30193,301930001,2,3,2,2,2,1,2,2,2,2,2,1,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,7,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,1,1,2014,4,2015,0,-2,-2,-2,-2,-2,-2,-2,1,280270001,2,-5,12,1,2,3,4,1,2,1,2,2,2,2,2,2,2,1,15.85107992, , , , , , , , , , , , , , , , , , , , , , , 
