"","pais","idnum","upm","prov","muni","cluster","ur","tamano","idiomaq","wt","estratopri","estratosec","q2y","q2","q1","ls3","a4","soct2","idio2","np1","np2","muni10","sgl1","honmun37","honmun38","honmun39","honmun40","honmun41","honmun42","cp5","cp6","cp7","cp8","cp13","cp20","honcp22","honcp21a","it1","l1","prot3","jc10","jc13","jc15a","vic1ext","vic1exta","vic1hogar","arm2","vic41","vic43","ico2","aoj11","pese1","pese2","aoj17","aoj12","b1","b2","b3","b4","b6","b10a","b11","b43","b12","b13","b18","b20","b20a","b21","b21a","b32","b37","b47a","b14","b15","b19","b46","honb51","mil1","b3milx","pr3e","honqt1","honqt2","honqt3","honqt4","honqt5","honqt6","honqt7","honqt8","honqt9","honqt10","honqt11","honqt12","m1","m2","honm3","sd2new2","sd3new2","sd6new2","infrax","ros1","ros4","ing4","eff1","eff2","mil7","pn4","w14a","e5","e15","e16","d1","d2","d3","d4","d5","d6","honjc17","exc2","exc6","exc20","exc11","exc13","exc14","exc15","exc16","exc18","vicbar1","vicbar1f","vicbar3","vicbar4","vicbar7","vic44","fear6f","vb1","vb2","vb10","pol1","vb20","for5","mil10a","mil10e","wf1","cct1b","ed","ed2","q5a","q5b","q3c","ocup4a","ocup1a","q10a","q14","q10d","q10e","q11n","q12c","q12bn","q12","etid","www1","gi0","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r18","r1","r16","r26","inf3a","colorr","sexi","colori","nationality","formatq","sex","year","fecha","lib1","lib4"
"2:1237","Honduras",921,30,"Atl�ntida",400504,10,"Urban","Medium City",1,1,"Norte B",1,1991,25,1,2,13,2,2,2,2,NA,4,2,NA,NA,NA,NA,NA,NA,1,2,4,4,NA,4,4,2,5,2,NA,1,2,1,2,1,2,0,0,2,3,3,2,4,4,3,2,1,2,2,1,1,7,5,2,3,2,7,3,1,1,4,2,1,1,1,2,2,6,5,3,4,3,4,4,3,2,3,3,4,4,3,3,5,3,4,4,3,4,4,3,5,1,1,4,3,3,1,9,9,1,7,9,3,4,NA,1,1,1,0,0,0,0,NA,0,NA,0,1,3,NA,1,2,0,2,1,1,2,2,3,4,NA,2,2,2,6,4,2,1,1,1,2,2,2,3,2,1,3,0,0,2,1,2,1,0,1,1,0,1,0,1,1,1,1,1,1,NA,1,4,2,3,4,4,1,2016,"2016-11-11",1,1
"2:1238","Honduras",1183,30,"Atl�ntida",400504,11,"Urban","Medium City",1,1,"Norte B",1,1982,34,1,1,27,2,1,2,2,NA,3,1,1,2,1,1,1,2,1,4,4,4,NA,4,4,1,5,2,2,NA,2,2,NA,1,2,1,0,2,2,3,3,4,3,5,1,3,1,4,2,1,7,5,3,2,1,7,1,3,2,5,1,2,4,5,1,2,5,4,4,3,3,4,3,2,2,3,4,3,4,4,4,3,3,4,3,3,2,2,5,6,4,1,7,7,4,1,2,1,1,5,2,5,2,1,1,1,0,0,0,NA,NA,NA,NA,0,0,2,NA,2,2,1,0,1,1,1,2,4,1,2,NA,2,2,2,6,2,1,1,1,1,4,1,2,2,1,2,3,1,1,2,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,5,2,3,4,4,1,2016,"2016-11-12",1,1
"2:1239","Honduras",860,10,"Comayagua",400204,55,"Urban","Medium City",1,1,"Central B",2,1991,25,2,1,NA,3,3,2,2,NA,4,2,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,3,8,2,NA,2,2,2,NA,2,2,0,1,5,3,3,3,1,3,5,2,3,5,6,4,5,7,5,3,5,2,7,2,6,6,5,6,7,6,5,4,4,7,6,6,3,4,4,3,4,1,3,4,3,4,3,3,2,2,2,1,1,1,4,4,6,6,7,5,7,3,2,6,9,5,7,5,6,5,7,3,1,0,0,0,NA,NA,NA,1,NA,0,2,NA,2,2,2,0,2,1,2,2,4,4,4,NA,NA,2,2,0,0,5,3,3,5,NA,2,1,2,2,5,6,3,1,1,2,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,3,4,4,2,2016,"2016-10-24",1,1
"2:1240","Honduras",1020,21,"Cort�s",400402,77,"Urban","Medium City",1,1,"Norte A",1,1962,54,2,2,5,3,2,2,2,NA,3,1,1,1,1,1,NA,3,1,3,2,4,4,4,4,3,NA,2,NA,2,2,2,NA,1,1,1,0,2,2,3,1,1,3,3,6,5,6,7,4,6,7,6,5,3,7,7,6,7,7,7,7,5,5,6,5,6,7,6,NA,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2,3,4,7,6,4,4,3,4,3,NA,1,7,7,2,7,5,5,6,6,1,0,0,0,NA,NA,NA,0,NA,0,1,2,1,1,1,1,1,2,1,2,4,1,NA,NA,NA,2,2,2,0,1,1,5,5,NA,2,2,2,3,6,5,1,8,1,5,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,2,2,4,4,4,2,2016,"2016-10-26",1,1
"2:1241","Honduras",38,19,"Cort�s",400401,98,"Urban","Large City",1,1,"Norte A",1,1981,35,2,1,5,3,2,2,1,0,5,2,NA,NA,NA,NA,NA,3,1,4,4,4,3,4,4,2,5,2,NA,1,2,2,NA,2,1,0,0,3,2,3,2,3,4,1,1,1,1,1,1,1,7,5,1,1,7,6,2,1,1,3,1,1,1,1,1,1,7,5,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,NA,4,6,1,1,1,1,5,7,4,1,10,1,10,10,10,10,10,10,1,1,1,0,0,1,0,NA,0,NA,0,1,2,1,1,1,0,NA,1,1,2,3,3,14,2,2,2,2,14,2,1,1,1,1,4,1,2,3,2,5,4,1,1,2,1,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,6,2,4,4,4,2,2016,"2016-10-25",2,1
"2:1242","Honduras",622,1,"Francisco Moraz�n",400101,145,"Urban","National Capital (Metropolitan area)",1,1,"Central A",1,1994,22,1,1,3,2,2,2,2,NA,2,1,1,1,1,2,1,4,2,4,2,4,NA,4,3,1,9,2,NA,2,2,1,1,1,1,1,0,3,2,2,2,4,2,5,5,3,4,5,5,6,7,6,5,5,7,6,4,6,6,6,5,5,5,5,6,6,6,6,5,2,2,2,4,2,2,2,2,2,2,1,4,2,2,3,2,2,2,2,4,4,4,3,3,6,2,1,6,3,8,4,4,3,3,5,4,1,0,0,0,NA,0,NA,NA,NA,0,2,NA,1,2,2,0,2,1,1,2,4,4,4,2,2,2,2,15,2,3,2,1,1,2,2,2,2,2,1,7,0,0,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,3,2,5,4,4,1,2016,"2016-10-16",3,3
"2:1243","Honduras",930,38,"Yoro",400703,244,"Urban","Large City",1,1,"Norte B",1,1936,80,1,1,5,2,3,2,2,NA,3,NA,NA,NA,NA,NA,NA,4,4,4,4,4,NA,4,2,2,10,2,NA,2,2,2,NA,2,1,1,0,3,3,3,3,3,1,3,5,2,1,6,1,2,7,7,4,7,7,5,1,6,7,6,6,7,3,1,6,5,7,7,3,3,4,3,4,3,3,4,3,3,3,3,3,2,3,3,1,2,3,6,1,6,7,5,1,7,1,2,7,1,6,6,5,1,4,1,1,1,0,0,0,0,NA,NA,NA,NA,1,2,NA,2,1,2,0,1,2,1,2,4,4,2,3,3,2,2,0,1,2,1,1,7,NA,1,2,2,2,6,7,3,4,1,5,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,4,2,5,4,4,1,2016,"2016-11-03",1,1
"2:1244","Honduras",344,39,"Yoro",400703,237,"Urban","Large City",1,1,"Norte B",1,1946,70,2,2,5,3,2,2,2,NA,NA,1,1,1,1,1,1,3,4,3,4,4,4,4,4,2,NA,2,NA,2,2,2,NA,1,1,1,0,1,3,3,1,3,1,1,3,1,2,7,5,6,7,1,1,7,7,2,1,1,5,7,1,1,3,1,1,1,4,3,7,4,2,4,3,3,3,3,3,2,3,3,4,3,3,5,3,NA,4,6,7,7,1,4,4,7,3,1,1,2,10,9,3,5,7,3,1,1,0,0,0,0,NA,1,0,NA,0,1,1,1,1,2,0,1,1,1,1,3,4,1,2,3,2,2,4,NA,4,1,1,6,NA,1,2,3,2,1,3,0,3,1,5,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,2,2,4,4,4,2,2016,"2016-11-04",3,1
"2:1245","Honduras",486,4,"Francisco Moraz�n",400101,156,"Urban","National Capital (Metropolitan area)",1,1,"Central A",1,1998,18,1,1,5,3,3,2,2,NA,4,2,NA,NA,NA,NA,NA,4,1,3,4,4,NA,4,4,1,1,2,1,NA,1,2,NA,2,2,1,0,5,2,1,2,1,1,1,1,2,1,1,2,1,7,1,1,2,1,1,1,1,1,2,3,1,1,3,4,1,1,1,7,3,4,4,4,4,4,4,4,4,4,1,3,5,5,4,1,1,3,5,1,1,3,1,7,1,2,2,1,1,10,10,2,5,1,1,1,1,0,0,0,0,NA,NA,NA,NA,0,2,NA,2,1,1,0,1,1,2,2,4,1,4,3,1,2,2,6,2,2,1,6,1,4,2,1,1,1,1,5,0,0,2,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,6,2,5,4,4,1,2016,"2016-10-14",1,1
"2:1246","Honduras",676,56,"El Para�so",401806,132,"Urban","Small City",1,1,"Oriental A",3,1975,41,2,3,3,3,2,2,2,NA,1,1,1,1,2,1,2,3,2,3,4,4,4,4,3,1,NA,2,NA,NA,2,2,NA,2,2,0,0,5,3,3,2,4,3,5,7,4,5,4,5,5,7,5,4,5,7,3,5,6,7,6,6,5,5,6,6,6,5,5,3,2,2,NA,3,2,2,2,2,NA,1,NA,3,3,3,2,3,3,3,5,5,7,NA,4,1,5,3,1,6,7,9,NA,7,6,8,7,1,1,0,0,0,0,NA,NA,0,NA,0,2,NA,2,2,2,0,1,1,1,1,4,NA,NA,NA,NA,1,2,12,1,3,1,1,5,NA,2,2,4,1,3,5,2,3,2,5,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,4,2,6,4,4,2,2016,"2016-10-27",1,1
