Folio,year,Trim,Unidad,cd_mue,punt_mue,turno,p1,p2,p3,p4g,p4n,p5,p6,p6_1,p7,p8,p8_1,p9,p9_1,p9_2,p9_3,p9_4,p9_5_1,p9_5_2,p9_5_3,p9_5_4,p9_6_1,p9_6_2,p9_6_3,p9_6_4,p10,P10_Otro,p11,P11_Otro,p11_1d,p11_1m,P11_1U,p11_2e,p11_2m,p11_2c,P11_2U,p11_3e,p11_3c,p12,p12_1,p12_2,p12_2_1,p12_4,p12_5,p12_6_1,p12_6_2,p12_6_3,p12_6_4,p12_6_5,p12_6_6,p12_6_7,p12_6_8,p12_7,p12_8,p12_9c,p12_9u,p12_9t,p12_10,p12_11,p13,p13_1,p14,p15,p15_1,p16,p17,p17_1,p17_2,p17_2_1,p17_3,p18,p19,p19_1c,p19_1u,p19_2,p20,p21e1,p21c1,P21U1,p21e2,p21c2,P21U2,p22_1,p22_2,p23e,p23m,p23c,P23U,p24_1,p24_2,p24_3,p24_4,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_2,p26,p27,p28,p28_1,p29e,p29m,p29c,P29U,p29_1c,p29_1t,p29_3,p29_4,p29_5,p30,P30_Otro,p30_1,p31,p31_1,p31_2,p32,p33,p34,p34_1,p35,p36,p36_1,p37c,p37t,p38,p38_1,p38_2,p38_3,p39,p40c,p40t,p41c,p41u,p41_1,p42,p43e,p43m,p43c,P43U,p44,p45,p45_1,p46c,p46t,p47,p48,p48_1,p49,p50,p50_1,p51,p52m,p52a,p53,p54,p55,p56,p57,p58,p59_1,p59_2,p59_3,p59_4,p59_5,p59_6,p60_1,p60_2,p60_3,p60_4,p60_5,p60_6,p60_7,Ponfin3,filtro,m1_1,m1_2,m1_3,m1_4,m1_5,m1_6,m1_7,m1_8,m1_9,m1_10,m1_11,m2,m3,m4_1,m4_2,m4_3,m4_4,m4_5,m4_6,m4_7,m4_8,m4_9,m4_10,m4_11,m5,m6,m7_1,m7_2,m7_3,m7_4,m7_5,m7_6,m7_7,m7_8,m7_9,m7_10,m7_11
296,2014,1,11402,1,1,1,1,24,1,6,2,2,2,-1,6,2,2,4,0,2,2,2,1,8,5,8,2,1,2,2,1,-9,1,-9,3,301,1,-2,-2,-2,-2,-2,-2,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,99,1,1,1217001,2,-2,1,1,-2,-2,-2,-2,1,2,-2,-2,-2,3,7,71010001,2,20,200670001,2,0,96,20,20067,200670001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-9,1,1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4,2,50,3,2,4,20,20067,200670001,2,2,2,1,3,2,1,0,-2,-2,1,1,2013,10,2013,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5.462837,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
307,2014,4,161410,1,1,1,1,27,1,3,4,2,2,-1,6,2,2,3,0,1,1,2,1,8,5,8,2,1,2,1,1,-9,1,-9,6,619,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,731,2,2,2,2,2,2,2,2,2,8,6,7,3,2,337,2,1,1,1217001,2,-2,1,1,-2,-2,-2,-2,1,2,-2,-2,-2,3,7,70890001,2,7,70090001,2,0,96,7,7009,70090001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-9,1,1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,15,2,200,3,2,4,7,7009,70090001,2,3,3,1,4,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5.553081624,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
309,2014,1,31402,1,1,1,1,36,1,1,5,2,2,-1,5,1,-1,4,2,2,1,1,1,1,1,1,2,1,2,2,1,-9,1,-9,2,210,2,-2,-2,-2,-2,-2,-2,1,-2,2,5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,99,1,1,1217001,2,-2,1,1,-2,-2,-2,-2,1,2,-2,-2,-2,3,7,70890001,2,97,999999997,97,0,96,7,7089,70890001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-9,3,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,10,2,500,3,1,4,7,7089,70890001,2,1,1,1,8,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.775238,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
314,2014,4,161410,1,1,1,1,30,1,3,4,2,2,-1,6,2,2,3,0,1,1,1,1,8,1,8,2,1,2,2,1,-9,1,-9,5,521,2,-2,-2,-2,-2,-2,-2,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1217001,2,-2,2,1,-2,-2,-2,-2,3,2,-2,-2,-2,3,7,70890001,2,7,70090001,2,0,96,7,7097,70970001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-9,3,1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,2,200,3,2,4,20,20014,200140001,2,2,2,1,4,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5.553081624,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
314,2014,1,61402,1,1,1,1,25,1,2,4,2,2,-1,6,2,2,6,0,2,2,2,1,8,5,8,2,1,2,2,1,-9,1,-9,2,204,2,-2,-2,-2,-2,-2,-2,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,99,1,1,1217001,2,-2,1,1,-2,-2,-2,-2,1,2,-2,-2,-2,3,7,70890001,2,20,200670001,2,0,96,20,20067,200670001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-9,1,1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,8,2,250,3,2,7,20,20067,200670001,2,3,3,1,8,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4.190244,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
322,2014,1,61402,1,1,1,1,29,2,0,1,2,2,-1,1,1,-1,4,1,1,1,1,1,2,1,2,2,1,2,1,1,-9,1,-9,5,512,2,-2,-2,-2,-2,-2,-2,1,-2,2,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,99,1,1,1217001,2,-2,1,1,-2,-2,-2,-2,1,2,-2,-2,-2,3,30,300030001,2,30,301150001,2,3,14,30,30115,301150001,2,1,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,1,-2,30,30115,301150001,2,9,4,611,111,1,1,-9,1,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,9,5,100,3,2,1,30,30115,301150001,2,1,1,1,3,4,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4.190244,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
323,2014,1,61402,1,1,1,1,26,1,3,2,2,2,-1,1,1,-1,3,1,2,2,1,1,1,5,1,2,1,2,2,1,-9,1,-9,6,607,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,411,2,2,2,2,2,2,2,2,2,8,4,10,3,2,431,2,1,1,1217001,2,-2,1,2,4,0,-3,4,1,2,-2,-2,-2,3,21,212160013,1,21,210840001,1,2,14,21,21084,210840001,1,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-9,1,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,8,2,150,3,2,4,21,21084,210840001,1,1,1,1,7,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4.190244,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
324,2014,1,61402,1,1,1,1,21,1,4,2,2,2,-1,6,2,2,6,2,2,2,2,1,8,1,8,2,1,2,2,1,-9,1,-9,6,607,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,411,2,2,2,2,2,2,2,2,2,7,3,9,3,2,431,2,1,1,1217001,2,-2,1,2,4,0,-3,4,1,2,-2,-2,-2,3,21,212160013,1,21,210840001,1,8,14,21,21084,210840001,1,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-9,1,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,8,2,50,3,2,4,21,21084,210840001,1,1,1,1,7,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4.190244,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
325,2014,1,61402,1,1,1,1,26,1,3,4,2,2,-1,6,2,5,5,2,2,1,2,1,8,1,1,2,1,2,2,1,-9,1,-9,6,607,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,411,2,2,2,2,2,2,2,2,2,7,3,12,3,2,431,2,1,1,1217001,2,-2,1,2,4,0,-3,4,1,2,-2,-2,-2,3,21,212160013,1,21,210840001,1,2,3,21,21084,210840001,1,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-9,1,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,8,2,200,3,2,4,21,21084,210840001,1,1,1,1,7,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,4.190244,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
326,2014,3,171407,1,1,1,1,30,1,3,3,2,2,-1,1,1,-1,6,2,3,3,2,1,1,1,1,2,1,2,2,1,-9,1,-9,5,509,2,-2,-2,-2,-2,-2,-2,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1217001,2,-2,1,1,-2,-2,-2,-2,4,2,-2,-2,-2,3,7,70890001,2,7,71010001,2,0,96,7,7101,71010001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-9,1,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,15,2,100,3,2,7,7,7032,999999997,97,2,2,1,14,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4.053968936,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
