FOLIO,year,TRIM,UNIDAD,CIUDAD,PUNTO,TURNO,SEXO,EDAD,PASMEX,p1,P2G,p2n,p3,p4,p4_1,p5,p6,p6_1,p7,p7_1,p7_2,p7_3,p7_4,p7_5_1,p7_5_2,p7_5_3,p7_5_4,p7_6,p7_6_1,p8,p8_1,p9_1,p9_2,p9_3,p9_4,p10,P10_OTRO,p11,P11_OTRO,p11_1d,p11_1m,P11_1U,p11_2e,p11_2m,p11_2c,P11_2U,p11_3es,p11_3cn,p11_3cd,p12c,p12t,p13,p13_1,p13_2,p13_2_1,p13_4,p13_5,p13_6_1,p13_6_2,p13_6_3,p13_6_4,p13_6_5,p13_6_6,p13_6_7,p13_6_8,p13_7,p13_8,p13_9c,p13_9u,p13_9t,p13_10,p14,p14_1,p15,p16,p16_1,p17,p17_1c,p17_1u,p18_1,p18_2,p19e1,p19c1,P19U1,p19e2,p19c2,P19U2,p20e,p20c,P20U,p21c,p21t,p22,p22_1,p22_2e,p22_2m,p22_2c,P22_2U,p22_4,p22_5,p23_1,p23_2,p24,p24_1_1,p24_1_2,p24_1_3,p24_1_4,p24_1_5,p24_1_6,p24_1_7,p24_1_8,p24_2,p24_3,p24_4,p25,p25_1c,p25_1t,p25_2,p26c,p26u,p26_1,p27,p27_1c,p27_1u,p27_1_1,p27_2,p28_0_1,p28_0_2,p28_1,p29,p29_1,p29_2,p30,p30_1,p31,p31_1,p31_2,p31_3,p31_4,p32es,p32cn,p32cd,p32_1,p32_2,p32_3c,p32_3t,p32_4,p32_5,p33es,p33cn,p33cd,p34c,p34t,p35,p35_2,p35_3c,p35_3u,p35_3t,p35_4,p36,p36_1,p36_2_1,p36_2_2,p37,p38,p39a,p40a,p40_1,p40_2,p41,p41_1,p42a,p43m,p43a,p44,p45,p45_1,p46,p46_1,Ponfin3,filtro,MP1_1,MP1_2,MP1_3,MP1_4,MP1_5,MP1_6,MP1_7,MP1_8,MP1_9,MP1_10,MP1_11,MP1_12,MP1_13,MP2,MP3,MP4_1,MP4_2,MP4_3,MP4_4,MP4_5,MP4_6,MP4_7,MP4_8,MP4_9,MP4_10,MP4_11,MP5,MP6,MP7_1,MP7_2,MP7_3,MP7_4,MP7_5,MP7_6,MP7_7,MP7_8,MP7_9,MP7_10,MP7_11
236,2014,1,61402,1,1,1,2,20,1,1,2,4,2,2,-1,6,2,5,8,4,2,2,2,5,8,1,8,3,-2,1,2,2,1,2,2,1,-9,1,-9,2,210,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,2,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1217001,3,2,-2,1,2000,3,0,96,28,280320001,2,7,70890001,2,28,280320001,2,28,2,2,2,-2,-2,-2,-2,-2,-2,0,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,99,280320001,3,3,3,2000,3,1,2,-2,-2,-2,-2,0,96,3,1,2,-2,2,-2,0,-2,-2,-2,-2,48,48215,4821545384,4,2,2,4,1,1,48,48215,4821545384,2,4,2,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,1,2013,12,2013,0,0,-4,1,-3,10.466087,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
236,2014,4,151410,1,1,1,1,39,1,1,1,3,2,2,-1,1,1,-1,4,2,2,2,2,3,3,5,3,1,2,2,2,2,2,1,1,1,-9,3,-9,-3,-3,-3,-3,-3,-3,-3,6,6037,603744000,21,4,1,-2,1,-3,712,2,2,2,2,2,2,2,2,2,8,6,380,3,3,236,1,9999997,8,2,-2,2,-2,-2,0,96,97,999999997,97,97,999999997,97,97,999999997,97,6,1,2,2,-2,-2,-2,-2,-2,-2,7,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,0,-2,-2,-2,700,3,2,2,-2,-2,-2,-2,0,96,0,5,1,1,1,4,2,0,-3,2,0,6,6037,603744000,2,4,9,4,1,1,6,6037,603744000,21,5,1,712,380,3,3,236,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,1,1993,2,1993,0,0,-4,1,-3,20.24876935,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
237,2014,1,61402,1,1,1,2,45,1,1,2,3,2,2,-1,6,1,-1,3,1,1,1,2,1,8,1,1,2,-1,1,2,2,1,2,1,1,-9,1,-9,6,612,2,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,2,7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1312047,3,2,-2,1,3000,3,0,96,30,300390001,2,7,70090001,2,30,300390001,2,15,2,2,2,-2,-2,-2,-2,-2,-2,0,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,99,280320001,3,2,3,3500,3,1,1,3500,3,2,1,0,96,2,1,2,-2,2,-2,5,0,-3,5,0,48,48201,4820135000,4,2,2,4,1,1,48,48201,4820135000,2,4,2,-4,-4,-4,-4,-4,0,-4,-4,-4,2,0,-2,-2,-2,-2,1,1,2013,12,2013,0,0,-4,1,-3,10.466087,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
237,2014,4,151410,1,1,1,2,22,1,1,5,5,2,2,-1,1,2,2,5,2,3,3,2,1,3,1,8,3,-2,2,2,2,1,2,2,1,-9,1,-9,12,1218,1,-2,-2,-2,-2,-2,-2,-2,5,1,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1217001,3,2,-2,1,4000,3,0,96,27,270040001,2,28,280320001,2,28,280320001,2,22,2,2,2,-2,-2,-2,-2,-2,-2,3,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,280320001,14,2,3,4100,3,1,1,2500,3,7,1,0,96,2,1,1,2,2,-2,0,-2,-2,-2,-2,48,48215,4821545384,4,3,2,4,1,1,48,48215,4821545384,2,4,2,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,1,2014,7,2014,0,0,-4,1,-3,14.47818972,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
238,2014,1,61402,1,1,1,2,21,1,1,3,3,2,2,-1,6,2,2,5,1,1,1,2,1,8,1,1,2,-1,1,2,2,1,2,2,1,-9,1,-9,9,909,1,-2,-2,-2,-2,-2,-2,-2,0,5,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1312047,3,2,-2,1,4500,3,0,96,15,151060001,2,27,270040001,2,27,270040001,2,17,2,2,2,-2,-2,-2,-2,-2,-2,0,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,99,280320001,4,2,3,4500,3,1,1,4000,3,7,2,0,96,2,1,1,2,2,-2,0,-2,-2,-2,-2,48,48215,4821545384,4,2,20,2,1,1,48,48215,4821545384,20,2,2,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,1,2014,1,2014,0,0,-4,1,-3,10.466087,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
239,2014,1,61402,1,1,1,2,28,1,1,3,3,2,2,-1,6,2,2,8,4,1,1,1,1,8,5,8,3,-2,2,2,2,1,2,2,1,-9,1,-9,9,909,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,511,1,1,1,2,2,2,2,2,2,10,6,85,3,3,722,1,1217001,3,2,-2,1,3800,3,0,96,28,280320001,2,9,999999999,99,28,280320001,2,1,4,2,2,-2,-2,-2,-2,-2,-2,0,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,99,280320001,10,2,3,3800,3,1,1,3000,3,7,1,0,96,3,1,1,1,2,-2,0,-2,-2,-2,-2,48,48201,4820135000,4,2,2,4,1,1,48,48201,4820135000,2,4,2,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,1,2013,12,2013,0,0,-4,1,-3,10.466087,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
239,2014,4,151410,1,1,1,1,29,1,1,2,4,2,2,-1,3,2,2,3,1,1,1,1,1,8,1,1,2,-1,2,2,2,2,2,1,1,-9,1,-9,5,515,1,-2,-2,-2,-2,-2,-2,-2,5,1,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1217001,3,2,-2,2,-2,-2,0,96,7,70090001,2,9,90030001,2,28,280320001,2,23,2,2,2,-2,-2,-2,-2,-2,-2,0,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,280320001,1,3,2,7000,3,2,2,-2,-2,-2,-2,0,96,2,1,1,1,2,-2,0,-2,-2,-2,-2,8,8031,803120000,4,2,7,4,1,1,8,8031,803120000,8,5,2,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,1,2014,3,2014,0,0,-4,1,-3,20.24876935,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
240,2014,1,61402,1,1,1,2,30,1,1,2,2,2,2,-1,6,2,2,10,8,1,1,2,1,8,1,1,2,-1,2,2,2,1,2,2,1,-9,1,-9,9,905,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,2,7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1217001,3,2,-2,1,4000,3,0,96,28,280320001,2,7,70890001,2,28,280320001,2,8,2,2,2,-2,-2,-2,-2,-2,-2,0,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,99,280320001,1,2,3,4000,3,1,1,3000,3,7,1,0,96,0,1,2,-2,2,-2,0,-2,-2,-2,-2,48,48215,4821545384,4,2,21,2,1,1,48,48215,4821545384,21,2,2,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,1,2014,1,2014,0,0,-4,1,-3,10.466087,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
240,2014,4,151410,1,1,1,1,37,1,1,2,4,2,2,-1,1,1,-1,3,1,1,1,1,5,1,5,1,2,-1,2,2,2,1,2,2,1,-9,1,-9,7,714,1,-2,-2,-2,-2,-2,-2,-2,5,1,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1217001,3,2,-2,2,-2,-2,0,96,7,70090001,2,28,280030001,2,28,280320001,2,5,2,2,2,-2,-2,-2,-2,-2,-2,3,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,280320001,1,2,4,1500,3,1,2,-2,-2,-2,-2,0,96,0,2,1,1,2,-2,0,-2,-2,-2,-2,4,99997,9999999997,4,3,1,4,1,1,4,99997,9999999997,1,4,2,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,1,2014,8,2014,0,0,-4,1,-3,20.24876935,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
241,2014,1,61402,1,1,1,1,21,1,1,3,3,2,2,-1,1,2,2,6,2,2,2,2,1,1,1,1,2,-1,1,2,2,1,2,1,1,-9,1,-9,5,517,2,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,922,1,2,2,2,2,2,2,2,2,8,6,8,3,2,236,1,1217001,3,2,-2,1,3000,3,0,96,19,190390001,2,28,280320001,2,28,280320001,2,15,2,2,2,-2,-2,-2,-2,-2,-2,0,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,99,280320001,4,2,3,3000,3,1,1,3000,3,7,1,0,96,2,1,1,1,2,-2,10,2,0,10,0,48,48215,4821545384,4,2,16,2,1,1,48,48215,4821545384,16,2,2,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,2,2,2013,1,2014,0,0,-4,2,2,10.466087,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
