"","pais","idnum","upm","prov","muni","cluster","ur","tamano","idiomaq","wt","estratopri","estratosec","q2","q1","nationality","ls3","a4","soct2","idio2","np1","sgl1","cp6","cp7","cp8","cp13","cp20","it1","l1","prot3","prot4","jc10","jc13","jc15a","vic1ext","vic1exta","arm2","vic41","vic43","aoj11","pese1","pese2","aoj17","aoj12","b1","b2","b3","b4","b6","b43","b11","b12","b13","b18","b21","b21a","b32","b17","b37","b47a","b15","b50","b60","epp3","m1","m2","sd2new2","sd3new2","sd6new2","infrax","ros1","ros4","ing4","eff1","eff2","pn4","w14a","e5","e16","d1","d2","d3","d4","d5","d6","dem11","exc2","exc6","exc20","exc11","exc13","exc14","exc15","exc16","exc18","vicbar1","vicbar1f","vicbar3","vicbar7","vb1","inf1","vb2","vb10","pol1","vb20","soc1","soc4","soc5","soc8","soc9","for5","for6b","for7b","mil10a","mil10e","wf1","cct1b","ed","ed2","q5a","q5b","q3c","ocup4a","ocup1a","q10a","q14","q10d","q10e","q11n","q12c","q12bn","q12","etid","www1","gi0","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r18","r1","r16","r26","colorr","sexi","colori","formatq","sex","year","fecha","lib1","lib4"
"1:982","Guatemala",60,9,"Guatemala",200101,9,"Urbano","Capital Nacional (área metropolitana)",2,1,"Metropolitana",NA,61,1,2,2,5,3,2,2,3,2,4,4,4,NA,3,NA,2,NA,1,1,2,2,NA,NA,NA,NA,2,NA,NA,3,4,4,6,3,3,5,7,5,7,2,1,3,4,5,4,6,NA,3,4,6,NA,3,5,NA,NA,NA,NA,1,6,5,3,2,3,NA,10,5,7,7,8,7,6,1,2,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,1,1,5,7,NA,2,2,2,2,NA,NA,NA,4,2,5,1,1,1,1,2,1,1,0,1,1,1,1,1,1,NA,4,1,3,NA,1,2010,NA,NA,NA
"1:983","Guatemala",1297,21609,"Alta Verapaz",201609,168,"Rural","Área rural",2,1,"Nororiente",NA,32,1,2,3,1,3,3,2,4,2,1,1,4,NA,2,4,2,NA,1,1,1,2,NA,NA,NA,NA,2,NA,NA,3,4,3,4,3,4,3,6,5,5,2,2,2,3,3,5,5,NA,3,4,4,NA,3,4,NA,NA,NA,NA,3,5,3,5,4,2,NA,6,7,7,6,5,5,4,2,1,1,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,1,NA,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,2,1,1,1,2,2,2,3,2,NA,NA,NA,1,3,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,5,1,4,NA,1,2010,NA,NA,NA
"1:984","Guatemala",610,20407,"Chimaltenango",200407,84,"Urbano","Ciudad mediana",2,1,"Noroccidente",NA,19,1,2,2,5,3,1,2,3,1,4,2,4,NA,4,6,2,NA,1,1,1,1,1,NA,NA,NA,3,NA,NA,1,4,3,5,5,4,6,5,3,4,3,3,3,3,4,4,3,NA,4,4,4,NA,3,4,NA,NA,NA,NA,2,6,4,3,4,3,NA,5,5,6,5,6,4,2,2,1,1,0,NA,0,0,NA,0,NA,1,NA,NA,NA,NA,1,NA,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,1,1,1,1,2,2,2,3,2,NA,NA,NA,0,3,3,1,0,1,1,0,0,0,1,1,1,0,0,1,0,NA,5,1,3,NA,1,2010,NA,NA,NA
"1:985","Guatemala",224,20108,"Guatemala",200108,31,"Urbano","Ciudad grande",2,1,"Metropolitana",NA,56,2,2,1,1,2,2,2,4,1,4,4,4,4,1,5,2,NA,2,2,2,1,1,NA,NA,NA,4,NA,NA,1,4,3,6,2,3,6,7,5,6,5,1,4,3,5,4,6,NA,5,5,6,NA,4,4,NA,NA,NA,NA,1,6,7,1,4,3,NA,10,1,6,6,6,6,1,1,2,1,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,1,NA,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,2,1,5,1,2,2,2,2,2,NA,NA,NA,3,2,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,NA,5,1,3,NA,2,2010,NA,NA,NA
"1:986","Guatemala",1029,20719,"Sololá",200719,136,"Urbano","Ciudad mediana",2,1,"Noroccidente",NA,34,2,2,4,57,2,2,1,1,1,2,4,4,4,3,7,2,NA,2,2,2,2,NA,NA,NA,NA,1,NA,NA,4,3,5,7,4,6,7,7,5,5,6,4,5,6,7,6,7,NA,6,6,7,NA,2,2,NA,NA,NA,NA,5,7,7,6,5,1,NA,2,1,2,1,5,5,5,3,2,0,0,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,1,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,1,1,5,1,2,2,2,2,2,NA,NA,NA,1,NA,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,NA,5,1,3,NA,2,2010,NA,NA,NA
"1:987","Guatemala",1395,20204,"El Progreso",200204,179,"Urbano","Ciudad mediana",2,1,"Nororiente",NA,47,1,2,2,5,3,2,2,3,4,4,3,4,NA,1,6,2,NA,2,2,2,2,NA,NA,NA,NA,1,NA,NA,4,3,3,4,4,6,4,7,5,4,4,4,5,4,5,4,5,NA,4,4,5,NA,3,4,NA,NA,NA,NA,4,5,3,2,5,2,NA,3,2,4,4,6,6,7,6,1,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,1,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2,2,1,1,2,2,2,1,2,NA,NA,NA,2,2,4,1,1,0,1,1,0,0,0,1,1,0,0,1,0,NA,3,1,3,NA,1,2010,NA,NA,NA
"1:988","Guatemala",53,4,"Guatemala",200101,8,"Urbano","Capital Nacional (área metropolitana)",2,1,"Metropolitana",NA,22,2,2,2,13,3,3,2,3,1,4,4,3,4,3,7,2,NA,1,1,2,1,1,NA,NA,NA,3,NA,NA,3,4,2,1,1,1,5,7,4,1,1,1,1,1,4,4,3,NA,1,3,5,NA,5,4,NA,NA,NA,NA,5,7,2,1,5,3,NA,10,10,7,10,10,7,1,1,1,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,1,NA,2,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,1,2,1,1,2,2,2,3,2,NA,NA,NA,0,2,3,1,0,0,1,0,0,0,0,1,1,1,0,1,0,NA,3,1,4,NA,2,2010,NA,NA,NA
"1:989","Guatemala",15,7,"Guatemala",200101,2,"Urbano","Capital Nacional (área metropolitana)",2,1,"Metropolitana",NA,38,2,2,2,1,3,2,2,2,1,2,4,4,3,2,6,2,NA,2,2,2,2,NA,NA,NA,NA,2,NA,NA,4,3,4,5,4,4,5,7,4,7,3,2,3,4,6,4,6,NA,3,4,6,NA,3,3,NA,NA,NA,NA,2,5,6,5,5,3,NA,8,7,8,8,8,5,4,1,2,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,1,NA,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2,1,1,1,1,2,2,2,2,NA,NA,NA,3,2,2,1,1,1,1,1,1,1,0,1,1,1,0,1,0,NA,5,1,3,NA,2,2010,NA,NA,NA
"1:990","Guatemala",568,21003,"Suchitepéquez",201003,77,"Rural","Área rural",2,1,"Suroriente",NA,59,2,2,2,1,1,2,NA,3,4,4,4,4,4,1,6,2,NA,2,2,NA,2,NA,NA,NA,NA,4,NA,NA,2,4,3,4,NA,NA,NA,7,4,7,4,3,1,1,1,3,7,NA,4,4,NA,NA,2,3,NA,NA,NA,NA,7,7,7,1,5,2,NA,10,8,NA,NA,NA,1,1,1,1,0,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,1,NA,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2,1,5,1,1,2,2,3,3,NA,NA,NA,5,2,5,1,1,1,1,0,0,0,0,1,1,0,0,1,0,NA,6,2,4,NA,2,2010,NA,NA,NA
"1:991","Guatemala",1236,20601,"Santa Rosa",200601,159,"Rural","Área rural",2,1,"Suroccidente",NA,66,2,2,1,5,3,2,1,4,1,2,4,4,4,2,4,2,NA,1,1,NA,2,NA,NA,NA,NA,1,NA,NA,4,2,3,6,4,6,7,7,4,5,6,4,NA,6,5,6,3,NA,5,NA,NA,NA,3,3,NA,NA,NA,NA,4,5,5,5,1,3,NA,6,6,5,5,3,5,1,1,2,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,1,NA,2,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,NA,1,2,3,3,NA,NA,NA,6,2,5,1,1,1,0,0,0,0,0,1,1,0,0,1,0,NA,3,2,3,NA,2,2010,NA,NA,NA
