Folio,year,Trim,Unidad,cd_mue,punt_mue,turno,p1,p2,p3,p4g,p4n,p5,p6,p6_1,p7,p8,p8_1,p9,p9_1,p9_2,p9_3,p9_4,p9_5_1,p9_5_2,p9_5_3,p9_5_4,p9_6_1,p9_6_2,p9_6_3,p9_6_4,p10,P10_Otro,p11,P11_Otro,p11_1d,p11_1m,P11_1U,p11_2e,p11_2m,p11_2c,P11_2U,p11_3e,p11_3c,p12,p12_1,p12_2,p12_2_1,p12_4,p12_5,p12_6_1,p12_6_2,p12_6_3,p12_6_4,p12_6_5,p12_6_6,p12_6_7,p12_6_8,p12_7,p12_8,p12_9c,p12_9u,p12_9t,p12_10,p12_11,p13,p13_1,p14,p15,p15_1,p16,p17,p17_1,p17_2,p17_2_1,p17_3,p18,p19,p19_1c,p19_1u,p19_2,p20,p21e1,p21c1,P21U1,p21e2,p21c2,P21U2,p22_1,p22_2,p23e,p23m,p23c,P23U,p24_1,p24_2,p24_3,p24_4,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_2,p26,p27,p28,p28_1,p29e,p29m,p29c,P29U,p29_1c,p29_1t,p29_3,p29_4,p29_5,p30,P30_Otro,p30_1,p31,p31_1,p31_2,p32,p33,p34,p34_1,p35,p36,p36_1,p37c,p37t,p38,p38_1,p38_2,p38_3,p39,p40c,p40t,p41c,p41u,p41_1,p42,p43e,p43m,p43c,P43U,p44,p45,p45_1,p46c,p46t,p47,p48,p48_1,p49,p50,p50_1,p51,p52m,p52a,p53,p54,p55,p56,p57,p58,p59_1,p59_2,p59_3,p59_4,p59_5,p59_6,p60_1,p60_2,p60_3,p60_4,p60_5,p60_6,p60_7,Ponfin3,filtro,m1_1,m1_2,m1_3,m1_4,m1_5,m1_6,m1_7,m1_8,m1_9,m1_10,m1_11,m2,m3,m4_1,m4_2,m4_3,m4_4,m4_5,m4_6,m4_7,m4_8,m4_9,m4_10,m4_11,m5,m6,m7_1,m7_2,m7_3,m7_4,m7_5,m7_6,m7_7,m7_8,m7_9,m7_10,m7_11
73,2014,1,161401,1,1,1,1,22,1,3,3,2,2,-1,6,2,2,6,2,2,2,2,1,8,5,8,2,1,2,2,1,-9,1,-9,14,1408,1,-2,-2,-2,-2,-2,-2,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,99,1,1,1217001,2,-2,2,2,6,0,-3,2,1,1,4000,3,7,98,98,999999999,99,98,999999999,99,98,98,98,99999,999999999,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99999,999999999,99,98,98,998,998,98,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99999,999999999,99,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,15.50876501, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
270,2014,1,201402,1,1,1,2,21,1,3,4,2,2,-1,5,1,-1,1,-1,-1,-1,2,1,3,1,8,2,1,2,1,1,-9,1,-9,1,102,2,-2,-2,-2,-2,-2,-2,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,1,1,1705016,2,-2,2,2,98,98,98,98,3,1,5000,3,7,3,27,270170001,2,30,301930001,2,98,98,98,99999,999999999,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99999,999999999,99,98,98,998,998,98,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99999,999999999,99,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,14.73493688, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
418,2014,1,151403,1,1,1,1,19,1,3,4,2,2,-1,6,2,2,6,1,4,4,2,1,8,5,8,2,1,2,2,1,-9,1,-9,4,405,1,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,1,1,1705016,2,-2,1,2,4,0,-3,1,6,2,-2,-2,-2,8,27,270040001,2,7,70650001,2,0,96,30,30003,300030001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99999,999999999,99,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,13.50545574, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
692,2014,2,91405,1,1,1,2,18,1,3,4,2,2,-1,6,2,2,3,0,2,2,2,1,8,5,8,2,1,2,2,1,-9,1,-9,1,105,1,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,1,1,1705016,2,-2,2,2,2,0,-3,1,3,2,-2,-2,-2,3,20,200790001,2,27,270040001,2,0,96,27,27004,270040001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,19.00513815, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
736,2014,2,201405,1,1,1,1,19,1,3,4,2,2,-1,6,2,2,6,1,5,5,2,1,8,5,8,2,1,2,2,1,-9,1,-9,8,801,2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,1,1,1705016,2,-2,2,2,3,0,-3,1,6,2,-2,-2,-2,98,98,999999998,98,98,999999998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,999999998,98,98,98,998,998,98,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,10.7629281, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
757,2014,2,241405,1,1,1,1,18,1,3,4,2,2,-1,6,2,2,3,0,1,1,2,1,8,5,8,2,1,2,2,1,-9,1,-9,1,102,1,-2,-2,-2,-2,-2,-2,2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,1,1,1705016,2,-2,2,2,3,0,-3,2,3,2,-2,-2,-2,98,98,999999998,98,98,999999998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,999999998,98,98,98,998,998,98,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,8.945810365, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
817,2014,2,11406,1,1,1,2,25,1,3,3,2,2,-1,6,2,2,9,3,4,4,2,1,8,1,8,2,1,2,2,1,-9,1,-9,5,503,1,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,1,1,1705016,2,-2,1,2,3,0,-3,1,0,2,-2,-2,-2,3,27,270040001,2,30,300030001,2,0,96,30,30039,300390001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,43.1688138, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
837,2014,2,31406,1,1,1,1,18,1,2,4,2,2,-1,6,2,2,8,4,2,2,2,1,8,5,8,2,2,2,2,1,-9,1,-9,16,1604,1,-2,-2,-2,-2,-2,-2,2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,1,1,1217001,2,-2,2,2,4,0,-3,3,3,2,-2,-2,-2,3,7,70090001,2,99,999999998,98,0,96,7,7009,70090001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,98,98,98,98,98,99998,999999998,98,98,98,998,998,98,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,10.27370409, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
843,2014,2,41406,1,1,1,1,20,1,6,2,2,2,-1,6,2,3,6,2,3,3,2,1,8,1,8,2,1,2,2,1,-9,1,-9,5,501,2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,1,1,1217001,2,-2,98,98,98,98,98,98,98,98,99998,98,98,98,98,999999998,98,98,999999998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,999999998,98,98,98,998,998,98,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,23.72736421, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
883,2014,2,111406,1,1,1,1,20,1,3,4,2,2,-1,6,2,2,8,3,3,3,2,1,8,5,8,2,1,2,2,1,-9,1,-9,5,503,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,312,2,2,2,2,2,2,2,2,2,8,5,4500,1,5,433,2,1,1,1705016,2,-2,98,98,98,98,98,98,98,98,99998,98,98,98,98,999999998,98,98,999999998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,999999998,98,98,98,998,998,98,98,98,98,98,98,98,98,999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,98,98,98,98,99998,999999998,98,98,98,98,98,98,98,998,98,9998,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,27.39654424, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
