,year,sex,age,read_write,head_house,home_dept,mex_port,trans_crossm,coyote_usd,trans_crossu,reason,fellow_trav,country,deported,first_citynew,second_citynew,long_citynew,us_entrynew,mex_port_lat,mex_port_long,us_entry_lat,us_entry_long,firstcity_lat,firstcity_long,secondcity_lat,secondcity_long,longcity_lat,longcity_long
361,2017,Hombre,19,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Colón,"Cuauhtémoc, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Automóvil particular,Buscar trabajo,Ninguna,El Salvador,USA,"Ebano , San Luis Potosí","Reynosa , Tamaulipas","Cárdenas , San Luis Potosí","Reynosa , Tamaulipas",15.665483,-92.003579,25.836636,-98.370859,15.4414006,-92.8949959,16.0869461,-93.7612856,16.0869461,-93.7612856
362,2017,Hombre,28,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,"Cuauhtémoc, Chiapas",Autobús o camioneta,3800,Automóvil particular,Buscar trabajo,Ninguna,El Salvador,USA,"Palenque , Chiapas","Reynosa , Tamaulipas","Reynosa , Tamaulipas","Reynosa , Tamaulipas",15.665483,-92.003579,25.836636,-98.370859,17.5229209,-91.9872616,25.6866142,-100.3161126,26.0508406,-98.29789509999999
363,2017,Hombre,51,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Automóvil particular,Buscar trabajo,Ninguna,El Salvador,USA,"Tuxtla Gutiérrez , Chiapas","Iztacalco , Distrito Federal","Reynosa , Tamaulipas","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,16.7021616,-93.0081378,16.7516009,-93.1029939,16.7516009,-93.1029939
364,2017,Hombre,28,Sí,No,Comayagua,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,6500,Automóvil particular,Buscar trabajo,Ninguna,El Salvador,USA,"Reforma , Chiapas","Reynosa , Tamaulipas","Reynosa , Tamaulipas","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,16.7021616,-93.0081378,19.1061301,-97.9522432,19.1061301,-97.9522432
365,2017,Mujer,32,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Automóvil particular,Buscar trabajo,Ninguna,El Salvador,USA,"Agua Dulce , Veracruz de Ignacio de la Llave","Chiapa de Corzo , Chiapas","Reynosa , Tamaulipas","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,17.5229209,-91.9872616,14.9055599,-92.26342059999999,17.5229209,-91.9872616
366,2017,Hombre,20,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Francisco Morazán,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,Ninguna,El Salvador,USA,"Arriaga , Chiapas","Álvaro Obregón , Distrito Federal","Reynosa , Tamaulipas","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,14.9055599,-92.26342059999999,16.7516009,-93.1029939,14.9055599,-92.26342059999999
368,2017,Hombre,18,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,2500,"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,2,El Salvador,USA,"Tapachula de Córdova y Ordóñez , Chiapas","Tijuana , Baja California","Tapachula de Córdova y Ordóñez , Chiapas","Tijuana , Baja California",14.679726,-92.150326,32.500863,-116.964166,14.9055599,-92.26342059999999,22.1564699,-100.9855409,22.1564699,-100.9855409
369,2017,Hombre,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,3500,"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,5,El Salvador,USA,"Tapachula de Córdova y Ordóñez , Chiapas","Acayucan , Veracruz de Ignacio de la Llave","Coyoacán , Distrito Federal","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,16.2371385,-93.8986279,16.7516009,-93.1029939,16.7516009,-93.1029939
370,2017,Hombre,19,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Atlántida,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,4000,Ninguno (caminando o nadando),Trabajar,Ninguna,El Salvador,USA,"Tuxtla Gutiérrez , Chiapas","Monterrey , Nuevo León","Reynosa , Tamaulipas","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,16.2371385,-93.8986279,16.7516009,-93.1029939,16.7516009,-93.1029939
371,2017,Hombre,33,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Francisco Morazán,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,4500,Ninguno (caminando o nadando),Trabajar,Ninguna,El Salvador,USA,"Chiapa de Corzo , Chiapas","Monterrey , Nuevo León","Monterrey , Nuevo León","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,16.2371385,-93.8986279,14.9055599,-92.26342059999999,19.173773,-96.1342241
372,2017,Mujer,27,Sí,No,Lempira,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,3000,Ninguno (caminando o nadando),Trabajar,Ninguna,El Salvador,USA,"Tuxtla Gutiérrez , Chiapas","Heróica Puebla de Zaragoza , Puebla","Reynosa , Tamaulipas","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,16.2299602,-92.1155691,15.6604331,-92.1425385,15.6604331,-92.1425385
373,2017,Hombre,27,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,El Paraíso,"Cuauhtémoc, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Automóvil particular,Buscar trabajo,Ninguna,El Salvador,USA,"Cihuatlán , Jalisco","Coyoacán , Distrito Federal","Coyoacán , Distrito Federal","Tijuana , Baja California",15.665483,-92.003579,32.500863,-116.964166,16.7021616,-93.0081378,14.9055599,-92.26342059999999,14.9055599,-92.26342059999999
376,2017,Hombre,19,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Comayagua,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Autobús o camioneta,Buscar trabajo,Ninguna,El Salvador,USA,"San Miguel Ajusco , Distrito Federal","Acayucan , Veracruz de Ignacio de la Llave","Cárdenas , San Luis Potosí","Heroica Matamoros , Tamaulipas",14.679726,-92.150326,25.554056,-97.491149,14.9055599,-92.26342059999999,17.5229209,-91.9872616,17.5229209,-91.9872616
379,2017,Hombre,27,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,"Cuauhtémoc, Chiapas",Autobús o camioneta,4000,Automóvil particular,Buscar trabajo,Ninguna,El Salvador,USA,"Tuxtla Gutiérrez , Chiapas","Miguel Hidalgo , Distrito Federal","Reynosa , Tamaulipas","Reynosa , Tamaulipas",15.665483,-92.003579,25.836636,-98.370859,14.9055599,-92.26342059999999,16.7516009,-93.1029939,16.7516009,-93.1029939
380,2017,Hombre,23,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Colón,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,2000,Automóvil particular,Buscar trabajo,Ninguna,El Salvador,USA,"Huixtla , Chiapas"," Ciudad Victoria , Tamaulipas","Coyoacán , Distrito Federal","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,14.9055599,-92.26342059999999,17.989456,-92.9475061,17.989456,-92.9475061
381,2017,Hombre,36,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Intubucá,"Carmen Xhán, Chiapas",Autobús o camioneta,3500,Ninguno (caminando o nadando),Reunirse con familiares,20,El Salvador,USA,"Chiapa de Corzo , Chiapas","Acapulco de Juárez , Guerrero","Chihuahua , Chihuahua","Manuel Ojinaga , Chihuahua",16.043086,-91.755012,28.631811,-106.079105,16.2371385,-93.8986279,22.1114627,-97.8011454,22.1114627,-97.8011454
382,2017,Hombre,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Cortés,"Frontera Corozal, Chiapas","Balsas (cámaras de llanta, tambos, maderos)",3500,"Balsas (cámaras de llanta, tambos, maderos)",Reunirse con familiares,6,El Salvador,USA,"Veracruz , Veracruz de Ignacio de la Llave","Monterrey , Nuevo León","Reynosa , Tamaulipas","Reynosa , Tamaulipas",16.814734,-90.884703,25.836636,-98.370859,17.989456,-92.9475061,18.1344779,-94.4589858,18.1344779,-94.4589858
383,2017,Mujer,25,Sí,Sí,Intubucá,"Frontera Corozal, Chiapas",Autobús o camioneta,4500,"Balsas (cámaras de llanta, tambos, maderos)",Reunirse con familiares,5,El Salvador,USA,"Monterrey , Nuevo León","Acayucan , Veracruz de Ignacio de la Llave","Reynosa , Tamaulipas","Reynosa , Tamaulipas",16.814734,-90.884703,25.836636,-98.370859,16.7021616,-93.0081378,22.1114627,-97.8011454,17.949192,-94.91459739999999
