,year,sex,age,read_write,head_house,home_dept,mex_port,fellow_travs,trans_crossm,coyote_usd,country,deported,first_citynew,second_citynew,long_citynew,deported_place,mex_port_lat,mex_port_long,firstcity_lat,firstcity_long,secondcity_lat,secondcity_long,longcity_lat,longcity_long,deported_lat,deported_long
12,2017,Hombre,54,Aprobó de básicos-secundaria en adelante,No,Gracias a Dios,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Abasolo , Guanajuato","La Ventosa , Oaxaca","La Ventosa , Oaxaca","Juchitán de Zaragoza, Oaxaca",14.679726,-92.150326,20.4536351,-101.5269589,16.5515667,-94.9458806,16.5515667,-94.9458806,16.4406909,-95.0221197
13,2017,Hombre,18,Sí,No,Choluteca,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Chiapa de Corzo , Chiapas","Celaya , Guanajuato","Celaya , Guanajuato","Celaya, Guanajuato",14.679726,-92.150326,16.7021616,-93.0081378,20.5279612,-100.8112885,20.5279612,-100.8112885,20.5279612,-100.8112885
14,2017,Hombre,18,Aprobó de básicos-secundaria en adelante,No,Copan,"Ciudad Hidalgo, Chiapas",2,Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Huixtla , Chiapas","Huixtla , Chiapas","Huixtla, Chiapas",14.679726,-92.150326,14.9055599,-92.26342059999999,15.137663,-92.46591889999999,15.137663,-92.46591889999999,15.137663,-92.46591889999999
15,2017,Hombre,33,Aprobó de básicos-secundaria en adelante,Sí,Colón,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Veracruz , Veracruz de Ignacio de la Llave","Veracruz , Veracruz de Ignacio de la Llave","Veracruz, Veracruz de Ignacio de la Llave",14.679726,-92.150326,14.9055599,-92.26342059999999,19.173773,-96.1342241,19.173773,-96.1342241,19.173773,-96.1342241
16,2017,Hombre,24,Aprobó de básicos-secundaria en adelante,No,Choluteca,"Ciudad Hidalgo, Chiapas",5,Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tuxtla Gutiérrez , Chiapas","Huixtla , Chiapas","Huixtla , Chiapas","Huixtla, Chiapas",14.679726,-92.150326,16.7516009,-93.1029939,15.137663,-92.46591889999999,15.137663,-92.46591889999999,15.137663,-92.46591889999999
17,2017,Hombre,18,Aprobó de básicos-secundaria en adelante,No,Cortés,"Ciudad Hidalgo, Chiapas",1,Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Tuxtla Gutiérrez , Chiapas","Tuxtla Gutiérrez , Chiapas","Tuxtla Gutiérrez, Chiapas",14.679726,-92.150326,14.9055599,-92.26342059999999,16.7516009,-93.1029939,16.7516009,-93.1029939,16.7516009,-93.1029939
18,2017,Hombre,18,Sí,No,Cortés,"Ciudad Hidalgo, Chiapas",1,Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Benito Juárez , Distrito Federal","Nuevo Laredo , Tamaulipas","Nuevo Laredo, Tamaulipas",14.679726,-92.150326,14.9055599,-92.26342059999999,19.3794059,-99.15914459999999,27.4779362,-99.549573,27.4779362,-99.549573
19,2017,Hombre,33,Aprobó de básicos-secundaria en adelante,No,Islas de la Bahía,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Ciudad Ixtepec , Oaxaca","Ciudad Ixtepec , Oaxaca","Ciudad Ixtepec, Oaxaca",14.679726,-92.150326,14.9055599,-92.26342059999999,16.5611267,-95.0963141,16.5611267,-95.0963141,16.5611267,-95.0963141
20,2017,Hombre,43,Sí,No,Comayagua,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Huixtla , Chiapas","Coyoacán , Distrito Federal","Coyoacán , Distrito Federal","Coyoacán, Distrito Federal",14.679726,-92.150326,15.137663,-92.46591889999999,19.3437444,-99.1561883,19.3437444,-99.1561883,19.3437444,-99.1561883
21,2017,Hombre,48,Sí,No,Cortés,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Chiapa de Corzo , Chiapas","Reynosa , Tamaulipas","Reynosa , Tamaulipas","Reynosa, Tamaulipas",14.679726,-92.150326,16.7021616,-93.0081378,26.0508406,-98.29789509999999,26.0508406,-98.29789509999999,26.0508406,-98.29789509999999
22,2017,Hombre,21,Aprobó de básicos-secundaria en adelante,No,Copan,"Cuauhtémoc, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Huixtla , Chiapas","Monterrey , Nuevo León","Monterrey , Nuevo León","Monterrey, Nuevo León",15.665483,-92.003579,15.137663,-92.46591889999999,25.6866142,-100.3161126,25.6866142,-100.3161126,25.6866142,-100.3161126
