"","folio","year","trim","unidad","ciudad","punto","turno","sexo","edad","pasmex","p1a","p1n","p2","p3","p3_1","p3_2","p4","p4_1","p5","p6","p6_1","p7","p7_1","p7_2","p7_3_1","p7_3_2","p7_3_3","p7_3_4","p7_4","p7_4_1","p8","p8_1","p9_1","p9_2","p9_3","p10p","p11p","p11_1d","p11_1m","p11_1u","p11_2e","p11_2m","p11_2l","p11_2u","p11_3es","p11_3cn","p11_3cd","p12c","p12t","p13","p13_1","p13_2","p13_2_1","p13_4","p13_5","p13_6_1","p13_6_2","p13_6_3","p13_6_4","p13_6_5","p13_6_6","p13_6_7","p13_6_8","p13_7","p13_8","p13_9c","p13_9u","p13_9t","p13_10","p13_11","p13_12_1","p13_12_2","p14","p14_1","p15","p16","p16_1","p17","p17_1c","p17_1u","p18_1","p18_2","p18_3","p18_4","p18_5","p18_6","p18_7","p18_8","p18_9","p18_10","p18_11","p18_12","p18_13","p18_14","p19_1e","p19_1l","p19_1u","p19_2e","p19_2l","p19_2u","p20e","p20l","p20u","p21c","p21t","p22","p22_1","p22_2e","p22_2m","p22_2l","p22_2u","p22_4","p22_5","p23_1","p23_2","p23_3","p23_4","p23_5","p23_6","p24_0_1","p24_0_2","p24_0_3","p24_0_4","p24_0_5","p24_0_6","p24_0_7","p24_1_1","p24_1_2","p24_1_3","p24_1_4","p24_1_5","p24_1_6","p24_1_7","p24_2_1","p24_2_2","p24_2_3","p24_2_4","p24_2_5","p24_2_6","p24_2_7","p24_2_8","p25","p25_1_1","p25_1_2","p25_1_3","p25_1_4","p25_1_5","p25_1_6","p25_1_7","p25_1_8","p25_2","p26","p26_1c","p26_1t","p26_2","p26_3","p27","p27_1c","p27_1u","p27_1_1","p27_2","p28c","p28u","p28_1","p29_1","p29_2","p29_3","p29_4","p29_5","p29_6","p29_7","p29_8","p29_9","p29_10","p29_11","p29_12","p29_13","p30","p31","p31_1","p31_2","p32","p32_1","p33","p33_1","p33_1_1","p33_1_2","p33_1_3","p33_2","p34","p35es","p35cn","p35cd","p35_1","p35_1_1","p35_2","p35_2_1_1","p35_2_1_2","p35_2_1_3","p35_2_1_4","p35_2_1_5","p35_2_1_6","p35_2_2","p35_3_1","p35_3_2","p35_3_3","p35_3_4","p35_3_5","p35_3_6","p35_3_7","p35_4c","p35_4t","p35_5","p35_6","p35_7","p35_8","p36es","p36cn","p36cd","p37c","p37t","p38","p38_2","p38_2_1","p38_2_2","p38_3c","p38_3u","p38_3t","p38_4","p38_5","p38_5_1_1","p38_5_1_2","p38_5_1_3","p38_5_1_4","p38_5_1_5","p38_5_1_6","p38_5_1_7","p38_5_1_8","p38_5_1_9","p38_5_1_10","p39","p39_1","p39_2_1","p39_2_2","p40","p41","p42","p43","p43_1","p43_2","p44","p44_1","p45","p46m","p46a","p47","p48","p48_1","p49","p50","p50_1","filtro","ponfin3","pais","deported"
"1:2249",1317,2017,1,301703,1,1,1,1,22,1,2,3,-2,1,1,2,2,-3,6,2,2,8,3,2,1,0,0,0,-6,-6,2,2,2,2,2,1,1,14,1404,1,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,2,2,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,1,96,1,1312047,3,2,-19,1,60000,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,20,200670001,2,14,140390001,2,26,260040001,1,25,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,260040001,7,2,1,3,1,60000,1,6,1,18000,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,97,97,2,-32,10,0,-34,-34,-34,0,10,4,99997,9999999997,6,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,35,2,2,2,2,4,4,99997,9999999997,35,2,2,-39,-39,-39,-39,-39,-39,-39,3,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,2,0,-45,-45,-45,-45,1,-48,-48,2,2017,0,0,-51,1,-52,-52,1,29.87435809,"Guatemala","USA"
"1:2250",1320,2017,1,301703,1,1,1,1,42,1,2,1,1,2,2,2,2,-3,6,1,-4,1,-5,-5,1,0,5,0,-6,-6,4,2,2,2,2,1,5,-10,-10,-10,-10,-10,-10,-10,42,42043,4204332800,22,4,1,-14,1,-16,611,1,2,2,2,2,2,2,2,2,8,6,10,3,1,111,2,2,96,1,1217001,3,2,-19,1,5000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,71010001,2,24,240280001,2,28,280270001,2,20,2,2,2,-22,-22,-22,-22,-22,-22,1,1,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280270001,1,3,1,3,1,5000,1,7,2,10000,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,0,2,2,-31,2,-32,10,1,3,-35,4,0,10,42,99999,9999999999,3,2,3,1,2,2,2,2,1,3,2,2,2,2,2,2,2,23,2,1,1,2,4,42,99999,9999999999,22,5,-38,-38,-38,-38,-38,-38,-38,-38,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,12,250,4,96,1,0,-45,-45,-45,-45,1,-48,-48,2,1994,0,0,-51,1,-52,-52,1,29.87435809,"Guatemala","USA"
"1:2251",1321,2017,1,301703,1,1,1,1,42,1,3,2,-2,2,2,2,1,2,6,1,-4,4,2,1,3,0,3,5,2,-7,2,2,2,2,2,1,5,-10,-10,-10,-10,-10,-10,-10,51,99999,9999999999,15,4,1,-14,1,-16,712,1,2,2,2,2,2,2,2,2,10,6,12,3,1,236,2,2,96,1,1217001,0,2,-19,2,-20,-20,1,1,2,2,2,2,2,2,1,2,2,2,2,2,20,200140001,2,15,999999999,99,26,260040001,1,1,4,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,260040001,1,3,1,2,2,-29,-29,-29,-29,5000,3,1,1,1,2,2,2,2,2,2,1,2,2,2,2,0,2,1,2,2,-32,2,0,-34,-34,-34,0,2,51,99999,9999999999,3,2,3,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,5,1,1,1,2,51,99999,9999999999,15,5,-38,-38,-38,-38,-38,-38,-38,-38,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,12,1000,4,2,1,0,-45,-45,-45,-45,1,-48,-48,5,2001,0,0,-51,1,-52,-52,1,29.87435809,"Guatemala","USA"
"1:2252",55,2017,2,51704,1,1,1,2,18,1,6,1,1,2,2,2,2,-3,6,2,2,6,6,2,1,0,5,0,-6,-6,2,2,2,2,2,1,1,12,1207,99,-12,-12,-12,-12,-12,-12,-12,555,5,2,6,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,1,96,1,1209084,4,2,-19,1,8000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,71010001,2,20,200670001,2,26,260550001,2,5,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,260550001,3,1,2,-28,1,1100,3,2,2,8000,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-31,2,-32,6,0,-34,-34,-34,0,6,4,4027,402763470,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,4,4,4027,402763470,6,2,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,1,0,-45,-45,-45,-45,1,-48,-48,3,2017,0,0,-51,1,-52,-52,1,17.59510869,"Guatemala","USA"
"1:2253",56,2017,2,51704,1,1,1,2,20,1,3,3,-2,2,2,2,2,-3,6,2,2,2,1,2,3,0,5,0,-6,-6,3,2,2,2,2,1,1,4,403,99,-12,-12,-12,-12,-12,-12,-12,555,5,2,5,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,1,96,2,-18,-18,2,-19,2,-20,-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,71010001,2,9,999999999,99,8,80370001,2,2,2,2,2,-22,-22,-22,-22,-22,-22,2,2,2,2,1,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,80370001,1,2,1,4,2,-29,-29,-29,-29,5000,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,4,2,-31,2,-32,6,0,-34,-34,-34,0,6,48,48141,4814124000,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,1,1,2,4,48,48141,4814124000,5,4,2,-39,-39,-39,-39,-39,-39,-39,3,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,10,2016,0,0,-51,1,-52,-52,1,17.59510869,"Guatemala","USA"
"1:2254",57,2017,2,51704,1,1,1,2,21,1,2,3,-2,2,2,2,2,-3,6,2,2,2,1,1,3,0,5,0,-6,-6,2,2,1,2,1,1,1,22,2214,2,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,2,2,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,1,96,1,1705015,6,2,-19,2,-20,-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27,270040001,2,19,190390001,2,28,280320001,2,19,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,6,2,1,4,2,-29,-29,-29,-29,2000,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,97,97,2,-32,6,0,-34,-34,-34,0,6,48,48215,4821545384,6,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,29,2,2,2,2,4,48,48215,4821545384,19,2,2,-39,-39,-39,-39,-39,-39,-39,3,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,3,2017,0,0,-51,1,-52,-52,1,17.59510869,"Guatemala","USA"
"1:2255",58,2017,2,51704,1,1,1,1,29,1,3,1,1,1,1,2,2,-3,1,1,-4,4,1,1,1,1,0,1,2,-7,2,2,2,2,2,1,1,14,1413,98,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,2,2,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,2,96,1,1312047,0,2,-19,1,20000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70270001,2,20,200140001,2,26,260040001,1,2,4,2,2,-22,-22,-22,-22,-22,-22,1,1,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,260040001,9,2,1,4,1,20000,1,1,1,20009,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,1,1,2,-32,5,0,-34,-34,-34,0,5,4,99997,9999999997,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,4,4,99997,9999999997,1,4,2,-39,-39,-39,-39,-39,-39,-39,3,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,2,0,-45,-45,-45,-45,1,-48,-48,3,2017,0,0,-51,1,-52,-52,1,17.59510869,"Guatemala","USA"
"1:2256",59,2017,2,51704,1,1,1,1,21,1,6,1,1,2,2,2,2,-3,1,2,5,4,3,2,1,1,1,1,2,-7,2,2,2,2,2,1,5,-10,-10,-10,-10,-10,-10,-10,34,34021,3402160900,4,4,1,-14,2,8,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,1,96,1,1312047,3,2,-19,1,35000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,71010001,2,20,200670001,2,28,280320001,2,22,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,9,2,1,2,1,65000,1,6,1,35000,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,-31,2,-32,5,0,-34,-34,-34,0,5,34,34021,3402160900,3,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,7,4,2,2,2,4,34,34021,3402160900,4,5,1,511,10,6,11,3,1,722,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,7,2013,0,0,-51,1,-52,-52,1,17.59510869,"Guatemala","USA"
"1:2257",60,2017,2,51704,1,1,1,1,27,1,3,1,1,2,2,2,2,-3,6,2,2,3,3,2,1,0,1,0,-6,-6,2,2,2,2,2,1,1,20,2007,99,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,2,2,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,1,96,1,1705015,6,2,-19,1,7500,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,300300001,2,24,240280001,2,5,50250001,2,25,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,50250001,8,2,1,4,1,7500,3,1,1,7500,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-31,2,-32,8,0,-34,-34,-34,0,8,48,48323,4832321892,6,1,4,1,1,2,2,2,2,2,1,1,2,2,2,2,2,6,2,2,2,2,4,48,48323,4832321892,6,2,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,2,0,-45,-45,-45,-45,1,-48,-48,3,2017,0,0,-51,1,-52,-52,1,17.59510869,"Guatemala","USA"
"1:2258",64,2017,2,51704,1,1,1,1,25,1,6,1,1,1,1,2,1,2,2,1,-4,4,1,1,1,0,5,3,1,3,2,2,2,2,1,1,5,-10,-10,-10,-10,-10,-10,-10,40,40109,4010955000,8,4,1,-14,1,-16,511,1,2,2,2,2,2,2,2,2,12,5,12,3,1,722,2,2,96,1,1312047,3,2,-19,1,5000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,999999999,99,21,211140001,2,26,260040001,1,1,4,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,260040001,2,3,1,3,2,-29,-29,-29,-29,5000,3,1,1,1,1,2,2,2,1,2,2,2,2,2,2,0,2,1,2,2,-32,30,3,3,-35,5,0,20,40,40109,4010955000,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,1,2,4,40,40109,4010955000,8,5,-38,-38,-38,-38,-38,-38,-38,-38,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,12,300,4,2,1,0,-45,-45,-45,-45,2,2,2008,3,2009,0,0,-51,2,1,1,1,17.59510869,"Guatemala","USA"
"1:2259",65,2017,2,51704,1,1,1,1,34,1,6,1,1,2,2,2,1,4,1,1,-4,4,1,1,1,1,1,1,2,-7,4,2,2,2,2,1,5,-10,-10,-10,-10,-10,-10,-10,47,47111,4711140160,9,4,1,-14,1,-16,511,1,2,2,2,2,2,2,2,2,10,6,600,3,3,722,2,2,96,1,1312047,3,2,-19,1,5000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,211140001,2,19,190390001,2,28,280270001,2,28,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280270001,10,2,1,3,1,1000,3,7,2,6500,3,1,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,2,-31,2,-32,20,0,-34,-34,-34,0,2,47,47111,4711140160,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,4,1,1,2,4,47,47111,4711140160,9,5,-38,-38,-38,-38,-38,-38,-38,-38,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,24,600,4,2,2,0,-45,-45,-45,-45,2,2,2007,12,2009,0,0,-51,2,1,2,1,17.59510869,"Guatemala","USA"
"1:2260",66,2017,2,51704,1,1,1,1,30,1,6,1,1,2,2,2,2,-3,6,1,-4,4,1,1,1,0,1,0,-6,-6,1,2,1,2,2,1,1,18,1804,1,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,1,-16,612,1,2,2,2,2,2,2,2,2,11,6,1500,1,5,112,2,2,1,1,1215013,0,2,-19,1,60000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70890001,2,28,280250001,2,28,280250001,2,17,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280330282,10,2,1,3,2,-29,-29,-29,-29,30000,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-31,2,-32,15,1,3,-35,1,0,3,48,99997,9999999997,5,4,4,1,2,2,2,1,2,2,2,2,2,2,2,2,2,77,2,2,2,2,4,48,99997,9999999997,7,1,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,2,0,-45,-45,-45,-45,2,2,2013,1,2017,0,0,-51,2,2,2,1,17.59510869,"Guatemala","USA"
"1:2261",67,2017,2,51704,1,1,1,1,38,1,2,1,1,1,1,2,1,3,6,2,2,6,6,2,1,0,1,0,-6,-6,2,2,2,2,2,1,1,14,1412,1,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,1,-16,611,2,2,2,2,2,2,2,2,2,7,6,50,1,2,111,2,2,96,1,1305024,0,2,-19,2,-20,-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70890001,2,15,999999999,99,28,280320001,2,5,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,5,1,2,-28,1,4800,3,7,3,4800,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-31,2,-32,7,1,3,-35,5,0,3,48,48201,4820135000,3,4,3,1,2,2,2,1,2,3,2,2,2,2,2,2,2,22,2,1,1,2,4,48,48201,4820135000,1,4,1,713,9,6,10,3,1,238,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,1,300,4,96,2,0,-45,-45,-45,-45,2,2,2011,1,2017,0,0,-51,2,2,2,1,17.59510869,"Guatemala","USA"
"1:2262",68,2017,2,51704,1,1,1,2,22,1,3,4,-2,2,2,2,1,4,6,2,2,9,8,2,1,0,5,0,-6,-6,2,2,2,2,2,1,1,15,1504,2,-12,-12,-12,-12,-12,-12,-12,18,4,1,-14,1,-16,312,1,2,2,2,2,2,2,2,2,11,6,1200,1,5,461,2,2,96,1,1209084,0,2,-19,2,-20,-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,200140001,2,15,999999999,99,15,999999999,99,15,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,3,2,1,2,1,1000,3,7,3,2000,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-31,2,-32,4,0,-34,-34,-34,0,4,48,48215,4821545384,4,4,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,3,4,1,1,1,2,48,48215,4821545384,5,1,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,1,0,-45,-45,-45,-45,1,-48,-48,12,2016,0,0,-51,1,-52,-52,1,17.59510869,"Guatemala","USA"
"1:2263",72,2017,2,51704,1,1,1,2,22,1,3,3,-2,2,2,2,2,-3,6,2,2,3,1,2,1,0,1,0,-6,-6,2,2,1,2,2,1,1,17,1710,2,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,2,2,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,1,96,1,1312047,3,2,-19,1,45000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,999999999,99,99,999999999,99,99,999999999,99,14,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,80370001,2,2,2,-28,1,45000,1,6,2,45000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-31,2,-32,0,-33,-33,-33,-33,-33,-33,48,48141,4814124000,6,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,1,2,1,2,48,48141,4814124000,5,4,2,-39,-39,-39,-39,-39,-39,-39,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,10,2016,0,0,-51,1,-52,-52,1,17.59510869,"Guatemala","USA"
"1:2264",73,2017,2,51704,1,1,1,2,20,1,3,3,-2,2,2,2,2,-3,6,2,2,5,3,2,1,0,1,0,-6,-6,2,2,1,2,2,1,1,10,1009,99,-12,-12,-12,-12,-12,-12,-12,555,5,1,-14,2,8,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,1,96,1,1217001,3,2,-19,2,-20,-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,280270001,2,9,999999999,99,28,280270001,2,11,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,1,1,2,2,2,2,2,2,2,1,280270001,1,3,1,4,1,2500,1,4,3,99999,99,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,-32,0,-33,-33,-33,-33,-33,-33,48,99997,9999999997,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,75,2,2,1,1,2,48,99999,9999999999,999,99,2,-39,-39,-39,-39,-39,-39,-39,3,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,1,0,-45,-45,-45,-45,1,-48,-48,1,2017,0,0,-51,1,-52,-52,1,17.59510869,"Guatemala","USA"
"1:2265",74,2017,2,51704,1,1,1,1,21,1,0,0,1,1,1,2,2,-3,1,1,-4,2,2,1,1,3,5,0,-6,-6,2,2,2,2,2,1,5,-10,-10,-10,-10,-10,-10,-10,1,99998,9999999999,3,4,1,-14,2,8,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,1,96,1,9999999,1,2,-19,1,18000,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,280320001,2,21,211140001,2,28,280320001,2,4,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,280320001,8,1,2,-28,1,18000,1,6,2,18000,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,-32,7,2,3,-35,5,0,7,1,99999,9999999999,3,2,3,1,2,2,1,1,1,2,2,2,2,2,2,2,2,19,2,2,1,2,4,1,99999,9999999999,3,5,1,923,8,7,99999,99,99,311,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,99,99999,4,2,1,0,-45,-45,-45,-45,1,-48,-48,10,2013,0,0,-51,1,-52,-52,1,17.59510869,"Guatemala","USA"
"1:2266",75,2017,2,51704,1,1,1,1,19,1,6,1,1,1,1,2,1,3,1,1,-4,11,8,1,5,3,1,1,2,-7,2,2,2,2,2,1,5,-10,-10,-10,-10,-10,-10,-10,36,99999,9999999999,1,4,1,-14,2,8,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,1,96,1,1312047,3,2,-19,2,-20,-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26,260040001,1,9,999999999,99,26,260040001,1,18,2,2,2,-22,-22,-22,-22,-22,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,260040001,12,1,2,-28,1,3000,3,4,3,4800,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-31,2,-32,0,-33,-33,-33,-33,-33,-33,36,99999,9999999999,7,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,1,2,4,36,99999,9999999999,1,5,1,712,12,7,15,3,1,236,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,30,99999,4,3,1,0,-45,-45,-45,-45,1,-48,-48,6,2016,0,0,-51,1,-52,-52,1,17.59510869,"Guatemala","USA"
"1:2267",76,2017,2,51704,1,1,1,1,37,1,3,1,1,2,2,2,2,-3,1,1,-4,1,-5,-5,1,1,1,1,2,-7,2,2,2,2,2,1,5,-10,-10,-10,-10,-10,-10,-10,25,99999,9999999999,3,4,1,-14,2,8,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,2,96,1,1217001,1,2,-19,2,-20,-20,1,1,2,2,2,2,2,2,1,2,2,2,2,2,26,260040001,1,7,70890001,2,26,260040001,1,25,2,2,2,-22,-22,-22,-22,-22,-22,2,1,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,260040001,8,3,1,4,1,99999,99,4,3,100,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-31,2,-32,0,-33,-33,-33,-33,-33,-33,25,99997,9999999997,4,4,3,1,2,2,2,1,1,2,2,1,2,2,2,2,2,14,4,2,1,2,4,25,99999,9999999999,3,5,1,713,10,6,15,3,1,238,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-44,-44,-44,2,0,-45,-45,-45,-45,6,3,2004,99,2013,3,3,0,3,1,2,1,17.59510869,"Guatemala","USA"
