,mex_port,mex_port_lat,mex_port_long,index,sum,city_lat,city_long
131,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Iztacalco , Distrito Federal",31.0,19.3948036,-99.09768079999999
132,"Unión Juárez, Chiapas",15.071193,-92.091311,"Cárdenas , Tabasco",32.0,18.0012067,-93.37323390000002
133,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Santiago de Querétaro , Querétaro",32.0,20.5887932,-100.3898881
134,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"San Cristóbal de las Casas , Chiapas",33.0,16.7369928,-92.63759879999999
135,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Manuel Ojinaga , Chihuahua",34.0,29.5458844,-104.4082908
136,"Talismán, Chiapas",14.962767999999999,-92.148176,"Celaya , Guanajuato",34.0,20.5279612,-100.8112885
137,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Mexicali , Baja California",36.0,32.6245389,-115.4522623
138,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Sonoyta , Sonora",38.0,31.8629677,-112.8488631
139,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Benito Juárez , Distrito Federal",41.0,19.3794059,-99.15914459999999
140,"Ciudad Hidalgo, Chiapas",14.679726,-92.150326,"Álvaro Obregón , Distrito Federal",42.0,19.3605334,-99.2267067
141,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Acajete , Puebla",43.0,19.1061301,-97.9522432
142,"Unión Juárez, Chiapas",15.071193,-92.091311,"Heroica Nogales , Sonora",47.0,31.3011855,-110.9381047
143,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Ciudad Ixtepec , Oaxaca",53.0,16.5611267,-95.0963141
144,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Tenosique de Pino Suárez , Tabasco",62.0,17.472665,-91.425051
145,"Ciudad Hidalgo, Chiapas",14.679726,-92.150326,"Oaxaca de Juárez , Oaxaca",67.0,17.0731842,-96.7265889
146,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Guadalajara , Jalisco",68.0,20.6596988,-103.3496092
147,"Talismán, Chiapas",14.962767999999999,-92.148176,"Miguel Alemán , Brecha 124 entre Kilómetro 15 y 16 Norte , Tamaulipas",79.0,26.1808832,-99.05710889999999
148,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Ciudad Miguel Alemán , Tamaulipas",84.0,26.3995427,-99.0310434
